"Var1"	"Var2"	"value"
"1"	"Chicken_Abattoir"	"Chicken_Abattoir"	0
"2"	"Chicken_Farm"	"Chicken_Abattoir"	0.216
"3"	"Chicken_Retail"	"Chicken_Abattoir"	0.176
"4"	"Turkey_Farm"	"Chicken_Abattoir"	0.216
"5"	"Turkey_Retail"	"Chicken_Abattoir"	0.176
"6"	"Duck_Farm"	"Chicken_Abattoir"	0.216
"7"	"Goose_Farm"	"Chicken_Abattoir"	0.216
"8"	"Cow_Abattoir"	"Chicken_Abattoir"	0.248
"9"	"Cow_Farm"	"Chicken_Abattoir"	0.36
"10"	"Cow_Retail"	"Chicken_Abattoir"	0.32
"11"	"Pig_Farm"	"Chicken_Abattoir"	0.296
"12"	"Pig_Retail"	"Chicken_Abattoir"	0.256
"13"	"Goat_Farm"	"Chicken_Abattoir"	0.28
"14"	"Sheep_Farm"	"Chicken_Abattoir"	0.28
"15"	"Sheep_Retail"	"Chicken_Abattoir"	0.256
"16"	"Donkey"	"Chicken_Abattoir"	0.416
"17"	"Horse"	"Chicken_Abattoir"	0.416
"18"	"Llama"	"Chicken_Abattoir"	0.416
"19"	"Seagull"	"Chicken_Abattoir"	0.448
"20"	"Raccoon"	"Chicken_Abattoir"	0.536
"21"	"Wildbird"	"Chicken_Abattoir"	0.472
"22"	"Cat"	"Chicken_Abattoir"	0.472
"23"	"Dog"	"Chicken_Abattoir"	0.472
"24"	"Bear"	"Chicken_Abattoir"	0.392
"25"	"Rat"	"Chicken_Abattoir"	0.432
"26"	"Skunk"	"Chicken_Abattoir"	0.456
"27"	"Deer"	"Chicken_Abattoir"	0.488
"28"	"Soil_Farm"	"Chicken_Abattoir"	0.44
"29"	"Soil_Forest"	"Chicken_Abattoir"	0.592
"30"	"Water_Sewage"	"Chicken_Abattoir"	0.608
"31"	"Water_Surface"	"Chicken_Abattoir"	0.704
"32"	"Farm.Lagoon"	"Chicken_Abattoir"	0.424
"33"	"Human_Urban"	"Chicken_Abattoir"	0.568
"34"	"Human_FarmWorker"	"Chicken_Abattoir"	0.696
"35"	"Human_AbattoirWorker"	"Chicken_Abattoir"	0.64
"36"	"Farm.Manure"	"Chicken_Abattoir"	0.488
"37"	"Food.Produce"	"Chicken_Abattoir"	0.424
"38"	"Flies"	"Chicken_Abattoir"	0.616
