Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year
CE_M_09_4099	Chicken_Farm	Canada	Ontario	Waterloo	43.4642578	-80.5204096	21	9	2009
CE_M_10_4054	Chicken_Farm	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	6	2010
CE_M_10_4091	Chicken_Farm	Canada	Ontario	Waterloo	43.4642578	-80.5204096	20	9	2010
CI_1964	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	28	6	2006
CI_1969	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	28	6	2006
CI_2061	Chicken_Farm	Canada	Alberta	Coaldale	49.7275202	-112.6179093	11	7	2006
CI_0677	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	5	10	2004
CI_0685	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	5	10	2004
CI_2055	Duck_Farm	Canada	Alberta	Coaldale	49.7275202	-112.6179093	11	7	2006
CI_2009	Duck_Farm	Canada	Alberta	Coaldale	49.7275202	-112.6179093	4	7	2006
CI_1920	Goose_Farm	Canada	Alberta	Fort Macleod	49.7216792	-113.4000408	20	6	2006
CI_2004	Goose_Farm	Canada	Alberta	Coaldale	49.7275202	-112.6179093	4	7	2006
CI_0765	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	15	11	2004
CI_0458	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
CI_0450	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
CI_0453	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
CE2_R_11_3009	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	4	1	2011
CE2_R2_11_1009	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	10	5	2011
CE2_R_11_3021	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	1	2	2011
CE2_R2_11_1006	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	5	4	2011
CE2_R2_11_3023	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	15	3	2011
CE2_R_11_3039	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	1	3	2011
CE2_R_11_1063	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	23	8	2011
CE2_R_11_3131	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	6	9	2011
CE2_R2_11_2018	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	5	7	2011
CE2_R_11_3113	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	12	7	2011
CE2_R2_11_3081	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	12	7	2011
CE2_R2_11_1027	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	19	7	2011
CE2_R2_11_1033	Chicken_Retail	Canada	British Columbia	Chilliwack	49.1579401	-121.9514666	19	7	2011
06_2866	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	26	9	2005
08_1709	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	18	9	2007
08_1714	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	9	10	2007
08_1700	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	8	2007
08_0099	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	21	7	2007
08_0096	Chicken_Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	16	7	2007
