Strain Name	cj0008 (486bp)	cj0033 (206bp)	cj0035 (541bp)	cj0057 (175bp)	cj0177 (399bp)	cj0181 (486bp)	cj0264 (406bp)	cj0297c (300bp)	cj0298c (198bp)	cj0307 (347bp)	cj0421c (127bp)	cj0483 (612bp)	cj0486 (301bp)	cj0566 (558bp)	cj0569 (399bp)	cj0570 (405bp)	cj0625 (498bp)	cj0728 (296bp)	cj0733 (441bp)	cj0736 (205bp)	cj0755 (101bp)	cj0860 (282bp)	cj0967 (301bp)	cj1134 (152bp)	cj1136 (510bp)	cj1141 (413bp)	cj1294 (160bp)	cj1324 (440bp)	cj1329 (307bp)	cj1334 (462bp)	cj1427c (613bp)	cj1431c (307bp)	cj1439 (307bp)	cj1550c (188bp)	cj1551 (241bp)	cj1552 (222bp)	cj1585 (630bp)	cj1679 (529bp)	cj1721 (415bp)	cj1727c (369bp)
CE2_R_11_3021	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CE2_R_11_3039	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
CGY_HR_074	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CGY_HR_076	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1
CI-0532	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
07_0971	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1
08_4460	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_4461	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_4466	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
08_4468	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
