"06_2855"	"06_2866"	"06_3245"	"06_3569"	"06_3783"	"06_3849"	"06_3851"	"06_3852"	"06_4734"	"06_4911"	"06_5176"	"06_5790"	"06_6211"	"06_6212"	"06_6554"	"06_7331"	"06_7332"	"06_7515"	"06_7585"	"06_7656"	"07_0549"	"07_0675"	"07_0971"	"07_1009"	"07_1493"	"07_1875"	"07_2174"	"07_2680"	"07_3238"	"07_3508"	"07_3647"	"07_3853"	"07_4076"	"07_4268"	"07_4269"	"07_4428"	"07_5038"	"07_5039"	"07_5041"	"07_5321"	"07_5425"	"07_5581"	"07_5583"	"07_6017"	"07_6066"	"07_6215"	"07_7314"	"07_7324"	"07_7331"	"08_0094"	"08_0096"	"08_0099"	"08_0100"	"08_1700"	"08_1709"	"08_1711"	"08_1714"	"08_4456"	"08_4460"	"08_4461"	"08_4466"	"08_4468"	"08_4472"	"08_4474"	"08_4603"	"08_4696"	"08_4697"	"08_4913"	"08_5176"	"08_5490"	"08_5603"	"08_5925"	"08_6160"	"08_6208"	"08_6877"	"08_7016"	"08_7017"	"08_7039"	"CA99CN070038"	"CE_M_09_1073"	"CE_M_09_2085"	"CE_M_09_3054"	"CE_M_09_3081"	"CE_M_09_4099"	"CE_M_10_2090"	"CE_M_10_2096"	"CE_M_10_2108"	"CE_M_10_2113"	"CE_M_10_3062"	"CE_M_10_3107"	"CE_M_10_4053"	"CE_M_10_4054"	"CE_M_10_4091"	"CE_R_10_0273"	"CE_R_10_0305"	"CE_R_10_0306"	"CE_R_11_0077"	"CE_R_11_0100"	"CE_R_11_0114"	"CE_R_11_0170"	"CE_R_11_0178"	"CE_R_11_0192"	"CE_R_11_0238"	"CE_R_11_0240"	"CE_R_11_0251"	"CE_R_11_0270"	"CE_R2_11_0134"	"CE_R2_11_0350"	"CE_R2_11_0374"	"CE2_R_11_1063"	"CE2_R_11_3009"	"CE2_R_11_3021"	"CE2_R_11_3035"	"CE2_R_11_3039"	"CE2_R_11_3113"	"CE2_R_11_3131"	"CE2_R2_11_1006"	"CE2_R2_11_1009"	"CE2_R2_11_1027"	"CE2_R2_11_1033"	"CE2_R2_11_2018"	"CE2_R2_11_2022"	"CE2_R2_11_3019"	"CE2_R2_11_3023"	"CE2_R2_11_3081"	"CE2_R2_11_3085"	"CGY_HR_009"	"CGY_HR_013"	"CGY_HR_020"	"CGY_HR_022"	"CGY_HR_026"	"CGY_HR_027"	"CGY_HR_058"	"CGY_HR_061"	"CGY_HR_073"	"CGY_HR_074"	"CGY_HR_076"	"CGY_HR_080"	"CGY_HR_082"	"CGY_HR_083"	"CGY_HR_090"	"CGY_HR_098"	"CGY_HR_101"	"CGY_HR_103"	"CGY_HR_108"	"CGY_HR_109"	"CGY_HR_118"	"CGY_HR_121"	"CGY_HR_139"	"CGY_HR_140"	"CGY_HR_170"	"CGY_HR_174"	"CHR_022"	"CHR_023"	"CHR_026"	"CHR_028"	"CHR_053"	"CHR_090"	"CHR_119"	"CHR_127"	"CHR_130"	"CHR_151"	"CHR_159"	"CI_0094"	"CI_0136"	"CI_0165"	"CI_0168"	"CI_0182"	"CI_0292"	"CI_0322"	"CI_0325"	"CI_0334"	"CI_0346"	"CI_0392"	"CI_0405"	"CI_0450"	"CI_0453"	"CI_0458"	"CI_0532"	"CI_0609"	"CI_0637"	"CI_0662"	"CI_0677"	"CI_0685"	"CI_0697"	"CI_0699"	"CI_0765"	"CI_0783"	"CI_0884"	"CI_0893"	"CI_0898"	"CI_0918"	"CI_0927"	"CI_0955"	"CI_0973"	"CI_0987"	"CI_1092"	"CI_1096"	"CI_1109"	"CI_1117"	"CI_1415"	"CI_1636"	"CI_1653"	"CI_1660"	"CI_1799"	"CI_1845"	"CI_1874"	"CI_1875"	"CI_1884"	"CI_1915"	"CI_1920"	"CI_1943"	"CI_1964"	"CI_1969"	"CI_2004"	"CI_2009"	"CI_2055"	"CI_2061"	"CI_2230"	"CI_2328"	"CI_2423"	"CI_2439"	"CI_2499"	"CI_2510"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_2605"	"CI_2651"	"CI_2695"	"CI_2705"	"CI_2840"	"CI_2864"	"CI_2950"	"CI_2989"	"CI_2991"	"CI_3036"	"CI_3043"	"CI_3074"	"CI_3252"	"CI_3290"	"CI_3299"	"CI_3421"	"CI_3609"	"CI_3643"	"CI_3812"	"CI_3856"	"CI_3879"	"CI_3889"	"CI_3943"	"CI_3986"	"CI_4071"	"CI_4079"	"CI_4102"	"CI_4108"	"CI_4353"	"CI_4356"	"CI_4360"	"CI_4378"	"CI_4383"	"CI_4395"	"CI_4411"	"CI_4424"	"CI_4428"	"CI_4447"	"CI_4458"	"CI_4806"	"CI_4835"	"CI_4864"	"CI_4909"	"CI_4990"	"CI_5034"	"CI_5198"	"CI_5245"	"CI_5254"	"CI_5265"	"CI_5292"	"CI_5300"	"CI_5328"	"CI_5357"	"CI_5429"	"CI_5692"	"CI_5889"	"CI_5906"	"CI_5943"	"CI_5947"	"CI_5997"
"06_2855"	1	0.01	0.1	0.12	0.04	0.06	0.04	0.05	0.12	0.01	0.01	0.57	0.1	0.02	0.06	0.2	0.57	0.04	0.02	0.16	0.01	0.02	0.08	0	0.11	0.04	0.12	0.18	0.55	0.01	0.01	0.01	0.01	0.11	0.02	0.55	0.48	0.04	0.39	0.09	0.47	0.53	0.54	0.49	0.48	0.37	0	0.14	0.48	0.01	0.01	0.02	0.01	0.11	0.05	0.05	0.48	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.48	0.48	0.01	0.48	0.01	0.01	0.01	0.52	0.04	0	0.52	0.1	0.01	0.37	0.02	0.1	0.12	0.09	0	0.02	0.47	0.47	0.37	0.5	0.02	0.02	0.03	0.01	0	0.13	0.01	0.01	0.37	0	0	0.57	0.01	0.02	0	0.02	0.12	0.54	0	0.03	0	0.02	0.01	0.01	0.01	0.01	0.13	0.01	0	0.03	0.14	0.13	0.11	0.36	0.11	0.01	0.01	0.32	0.09	0.17	0.03	0.03	0.17	0.01	0.13	0.34	0.12	0.13	0.03	0.01	0.13	0.47	0.01	0.36	0.48	0.01	0.12	0.47	0.5	0.5	0.1	0.54	0.11	0.01	0.53	0.96	0.11	0.48	0.03	0.1	0.55	0	0.01	0.01	0.11	0.01	0.11	0.13	0.39	0.02	0.09	0	0	0	0	0	0.01	0	0.13	0.13	0	0	0	0.5	0.09	0.03	0.03	0.52	0.11	0	0.1	0.55	0.02	0.1	0.01	0.01	0.04	0	0	0	0	0.01	0.09	0.01	0.01	0.01	0.01	0.01	0.47	0.47	0	0	0.01	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0.01	0.04	0	0	0	0	0	0	0	0.02	0.02	0.1	0	0.01	0	0	0.01	0.05	0	0	0.01	0	0	0.5	0.52	0	0.46	0	0.09	0.46	0	0	0.46	0	0.11	0.01	0	0	0	0	0	0.01	0.47	0.47	0.47	0.47	0.47	0.54	0.55	0.54	0.1	0.1	0.48	0.1	0.1	0.36
"06_2866"	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.99	0.69	0.02	0.03	0.63	0.01	0.01	0.02	0	0.63	0.02	0.02	0.02	0.01	0.44	0.01	0	0.02	0.02	0.02	0.63	0.99	0.85	0.99	0.01	0.48	0.02	0.01	0.01	0.01	0.01	0	0.02	0.02	0.02	0	0.01	0.45	0.04	0.01	0.98	0.64	0.48	0.64	0.01	0.01	0.01	0.01	0.93	0.92	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.92	0.48	0.93	0.49	0.01	0.01	0.99	0.01	0.98	0.98	0.98	0.02	0	0	0.02	0.03	0	0.02	0.59	0.02	0.02	0.02	0.48	0.01	0.01	0.01	0.02	0.02	0.62	0.62	0.59	0.99	0.46	0.02	0.48	0.49	0.02	0.46	0.46	0.02	0.61	0.48	0.45	0.46	0.02	0	0.55	0.59	0.56	0.48	0.95	0.5	0.49	0.49	0.02	0.65	0.56	0.57	0.02	0.02	0.01	0.02	0.01	0	0.64	0.01	0.01	0.03	0.02	0.02	0.03	0	0.02	0.04	0.03	0.01	0.64	0.5	0.02	0.01	0.95	0.02	0	0.65	0.03	0	0.02	0.02	0.02	0.02	0.01	0	0.02	0.01	0.02	0.01	0.64	0.01	0	0	0	0	0.01	0.49	0.02	0.01	0.01	0	0.01	0	0	0	0	0.48	0.65	0	0.01	0.01	0	0	0	0.03	0.01	0.02	0.02	0.02	0.01	0	0.02	0.02	0.66	0.02	0.49	0.49	0.01	0	0	0.03	0	0.04	0.01	0	0	0.46	0.95	0.94	0.01	0.01	0	0	0.95	0.95	0.04	0	0	0.49	0.47	0.01	0	0	0	0	0.49	0	0	0.5	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0.48	0.03	0.03	0.49	0.01	0.05	0	0.49	0	0	0.02	0.02	0	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0.46	0.46	0.46	0.46	0.03	0	0.49	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0	0.01	0.01	0.02
"06_3245"	0.1	0.01	1	0.96	0.01	0.02	0.01	0.01	0.03	0.01	0.02	0.09	0.03	0.01	0.02	0.02	0.09	0.62	0.01	0.01	0.04	0.04	0.94	0.01	0.98	0.66	0.05	0.02	0.08	0.01	0.01	0.01	0.01	0.11	0.02	0.08	0.1	0.01	0.07	0.1	0.11	0.08	0.08	0.1	0.1	0.06	0.01	0.01	0.1	0.01	0.01	0.02	0.01	0.1	0.01	0.01	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.01	0.1	0.01	0.01	0.01	0.08	0.66	0	0.09	0.03	0	0.05	0.01	0.03	0.03	0.03	0	0	0.11	0.11	0.05	0.06	0.01	0.01	0.02	0.01	0	0.02	0	0	0.06	0.01	0	0.09	0	0.02	0.01	0.02	0.02	0.08	0	0.02	0	0	0	0	0	0	0.02	0.01	0	0.02	0.02	0.02	0.09	0.06	0.09	0	0.01	0.04	0.07	0.02	0.02	0.02	0.02	0	0.02	0.02	0.02	0.02	0.01	0	0.04	0.1	0	0.06	0.1	0.01	0.02	0.1	0.06	0.06	0.03	0.08	0.09	0	0.09	0.09	0.03	0.1	0.01	0.99	0.09	0	0.03	0.03	0.05	0	0.03	0.09	0.07	0.03	0.94	0.01	0.01	0.01	0	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.06	0.93	0.02	0.02	0.08	0.06	0	0.03	0.09	0.01	0.03	0	0	0.05	0.01	0	0	0.01	0.01	0.1	0	0	0	0	0.01	0.09	0.09	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0.64	0.01	0.01	0.01	0	0.01	0.01	0.01	0.03	0.03	0.98	0	0	0	0	0	0.01	0	0.02	0	0.01	0	0.06	0.1	0	0.08	0	0.1	0.08	0	0	0.08	0	0.1	0	0.01	0.01	0.01	0	0.02	0	0.06	0.06	0.06	0.06	0.06	0.08	0.08	0.08	0.09	0.09	0.1	0.06	0.06	0.06
"06_3569"	0.12	0.01	0.96	1	0.03	0.04	0.03	0.03	0.05	0.01	0.02	0.12	0.04	0.02	0.04	0.02	0.12	0.6	0.02	0.01	0.03	0.03	0.92	0.01	0.96	0.64	0.06	0.03	0.11	0.01	0.01	0.01	0.01	0.11	0.02	0.11	0.11	0.03	0.1	0.1	0.12	0.1	0.11	0.11	0.11	0.09	0.01	0.01	0.11	0.01	0.01	0.02	0.01	0.1	0.03	0.03	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.11	0.01	0.11	0.01	0.01	0.01	0.11	0.64	0	0.1	0.04	0	0.06	0.01	0.03	0.05	0.04	0	0	0.12	0.12	0.06	0.08	0.01	0.01	0.02	0.01	0	0.01	0	0	0.07	0.01	0	0.12	0	0.02	0.01	0.02	0.01	0.1	0	0.02	0	0	0	0	0	0	0.01	0.01	0	0.02	0.01	0.01	0.09	0.07	0.09	0	0.01	0.05	0.08	0.02	0.03	0.03	0.02	0	0.01	0.03	0.01	0.01	0.01	0	0.05	0.11	0	0.08	0.11	0.01	0.01	0.11	0.08	0.08	0.03	0.1	0.1	0	0.1	0.11	0.03	0.11	0.01	0.97	0.11	0	0.03	0.03	0.06	0	0.04	0.09	0.1	0.03	0.92	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.08	0.91	0.03	0.03	0.09	0.08	0	0.04	0.1	0.02	0.04	0	0	0.05	0.01	0	0	0.01	0.01	0.1	0	0	0	0	0.01	0.1	0.1	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0.63	0.01	0.01	0.01	0	0.01	0.01	0.01	0.03	0.03	0.96	0	0	0	0	0	0.03	0	0.02	0	0.01	0	0.08	0.11	0	0.09	0	0.1	0.09	0	0	0.09	0	0.1	0	0.01	0.01	0.01	0	0.02	0	0.08	0.08	0.08	0.08	0.08	0.11	0.11	0.11	0.09	0.09	0.11	0.08	0.08	0.07
"06_3783"	0.04	0.01	0.01	0.03	1	0.92	1	0.91	0.09	0.01	0.02	0.07	0.07	0.04	0.92	0.02	0.07	0.03	0.04	0.02	0	0	0.01	0.02	0.01	0.03	0.08	0.02	0.09	0	0.01	0.03	0.01	0.1	0	0.07	0.06	0.99	0.08	0.09	0.06	0.06	0.07	0.05	0.06	0.08	0.02	0.02	0.06	0.01	0	0	0	0.11	0.9	0.91	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.06	0.06	0.01	0.06	0.01	0.01	0.01	0.06	0.03	0	0.03	0.07	0	0.03	0.03	0.06	0.09	0.07	0.01	0.05	0.06	0.06	0.03	0.05	0.03	0.03	0.03	0.01	0.02	0.02	0	0	0.03	0.02	0.02	0.07	0.03	0	0.02	0	0.02	0.05	0	0.03	0	0.02	0.01	0.02	0	0	0.03	0.02	0	0.03	0.02	0.02	0.12	0.02	0.12	0	0.02	0.05	0.12	0.03	0.91	0.91	0.03	0	0.02	0.02	0.03	0.02	0.03	0.02	0.07	0.07	0.01	0.03	0.06	0.02	0.03	0.06	0.05	0.05	0.06	0.06	0.11	0	0.03	0.04	0.06	0.06	0.03	0.01	0.05	0.01	0	0	0.11	0.02	0.07	0.1	0.08	0	0.01	0	0	0	0.01	0.02	0.02	0	0.02	0.02	0	0.01	0.01	0.06	0.01	0.9	0.9	0.03	0.13	0	0.07	0.07	0.04	0.07	0	0	0.8	0	0	0	0.01	0	0.1	0	0	0.02	0.01	0.01	0.06	0.06	0.01	0.01	0.01	0.01	0	0	0	0	0.02	0	0	0.01	0	0.01	0	0	0	0.02	0.03	0.01	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.92	0	0	0	0	0	0.05	0.03	0	0.06	0	0.1	0.06	0	0	0.06	0	0.11	0	0.02	0.02	0.02	0	0	0	0.05	0.05	0.05	0.05	0.05	0.07	0.07	0.07	0.1	0.1	0.06	0.12	0.12	0.02
"06_3849"	0.06	0.01	0.02	0.04	0.92	1	0.92	0.92	0.09	0.01	0.02	0.07	0.07	0.02	1	0.03	0.07	0.03	0.02	0.03	0.04	0.04	0.02	0	0.02	0.03	0.08	0.03	0.09	0	0.01	0.01	0.01	0.09	0	0.09	0.08	0.91	0.1	0.08	0.08	0.08	0.09	0.07	0.08	0.1	0	0.01	0.08	0.01	0	0	0	0.1	0.91	0.92	0.08	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.08	0.08	0.01	0.08	0.01	0.01	0.01	0.08	0.03	0	0.03	0.07	0.01	0.04	0.01	0.06	0.09	0.07	0	0.06	0.07	0.07	0.04	0.05	0.01	0.01	0.01	0.01	0	0.02	0	0	0.04	0	0	0.07	0.02	0	0	0	0.02	0.05	0	0.01	0	0	0.01	0	0	0	0.03	0.01	0	0.01	0.02	0.02	0.11	0.03	0.11	0.01	0.01	0.07	0.11	0.03	0.87	0.87	0.03	0.01	0.02	0.02	0.03	0.02	0.02	0	0.07	0.07	0.01	0.04	0.08	0.01	0.03	0.08	0.05	0.05	0.06	0.08	0.12	0.01	0.03	0.06	0.07	0.08	0.02	0.02	0.05	0	0	0	0.1	0	0.07	0.11	0.1	0	0.02	0	0	0	0.01	0	0.01	0	0.02	0.02	0	0.01	0.01	0.06	0.02	0.86	0.86	0.03	0.12	0	0.07	0.08	0.02	0.07	0	0	0.81	0	0	0	0.01	0	0.09	0.01	0.01	0	0.01	0.01	0.08	0.08	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.03	0.01	0	0	0.01	0.01	0.01	0	0	0	0.02	0	0	0	0	0	0.94	0	0	0	0	0	0.05	0.03	0	0.08	0	0.09	0.08	0	0	0.08	0	0.1	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0.09	0.09	0.09	0.09	0.09	0.08	0.11	0.11	0.03
"06_3851"	0.04	0.01	0.01	0.03	1	0.92	1	0.91	0.09	0.01	0.02	0.07	0.07	0.04	0.92	0.02	0.07	0.03	0.04	0.02	0	0	0.01	0.02	0.01	0.03	0.08	0.02	0.09	0	0.01	0.03	0.01	0.1	0	0.07	0.06	0.99	0.08	0.09	0.06	0.06	0.07	0.05	0.06	0.08	0.02	0.02	0.06	0.01	0	0	0	0.11	0.9	0.91	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.06	0.06	0.01	0.06	0.01	0.01	0.01	0.06	0.03	0	0.03	0.07	0	0.03	0.03	0.06	0.09	0.07	0.01	0.05	0.06	0.06	0.03	0.05	0.03	0.03	0.03	0.01	0.02	0.02	0	0	0.03	0.02	0.02	0.07	0.03	0	0.02	0	0.02	0.05	0	0.03	0	0.02	0.01	0.02	0	0	0.03	0.02	0	0.03	0.02	0.02	0.12	0.02	0.12	0	0.02	0.05	0.12	0.03	0.91	0.91	0.03	0	0.02	0.02	0.03	0.02	0.03	0.02	0.07	0.07	0.01	0.03	0.06	0.02	0.03	0.06	0.05	0.05	0.06	0.06	0.11	0	0.03	0.04	0.06	0.06	0.03	0.01	0.05	0.01	0	0	0.11	0.02	0.07	0.1	0.08	0	0.01	0	0	0	0.01	0.02	0.02	0	0.02	0.02	0	0.01	0.01	0.06	0.01	0.9	0.9	0.03	0.13	0	0.07	0.07	0.04	0.07	0	0	0.8	0	0	0	0.01	0	0.1	0	0	0.02	0.01	0.01	0.06	0.06	0.01	0.01	0.01	0.01	0	0	0	0	0.02	0	0	0.01	0	0.01	0	0	0	0.02	0.03	0.01	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.92	0	0	0	0	0	0.05	0.03	0	0.06	0	0.1	0.06	0	0	0.06	0	0.11	0	0.02	0.02	0.02	0	0	0	0.05	0.05	0.05	0.05	0.05	0.07	0.07	0.07	0.1	0.1	0.06	0.12	0.12	0.02
"06_3852"	0.05	0.01	0.01	0.03	0.91	0.92	0.91	1	0.1	0.01	0.02	0.08	0.08	0.02	0.92	0.02	0.08	0.03	0.02	0.02	0	0	0.01	0	0.01	0.03	0.09	0.02	0.09	0	0.01	0.01	0.01	0.09	0	0.08	0.07	0.9	0.1	0.08	0.07	0.07	0.08	0.06	0.07	0.1	0	0.02	0.07	0.01	0	0	0	0.1	0.99	1	0.07	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.07	0.07	0.01	0.07	0.01	0.01	0.01	0.07	0.03	0	0.03	0.08	0	0.03	0.01	0.07	0.1	0.08	0	0.06	0.07	0.07	0.03	0.05	0.01	0.01	0.01	0.01	0	0.02	0	0	0.03	0	0	0.08	0.01	0	0	0	0.02	0.06	0	0.01	0	0	0.01	0	0	0	0.03	0.01	0	0.01	0.02	0.02	0.11	0.02	0.11	0	0.01	0.06	0.11	0.03	0.89	0.89	0.03	0	0.02	0.02	0.03	0.02	0.01	0	0.08	0.07	0.01	0.03	0.07	0.01	0.03	0.07	0.05	0.05	0.07	0.07	0.11	0	0.03	0.05	0.06	0.07	0.01	0.01	0.06	0	0	0	0.1	0	0.08	0.1	0.1	0	0.01	0	0	0	0.01	0	0.01	0	0.02	0.02	0	0.01	0.01	0.06	0.01	0.89	0.89	0.03	0.12	0	0.08	0.09	0.02	0.08	0	0	0.8	0	0	0	0.01	0	0.09	0	0	0	0.01	0.01	0.07	0.07	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.03	0.01	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.9	0	0	0	0	0	0.05	0.03	0	0.07	0	0.09	0.07	0	0	0.07	0	0.1	0	0	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0.08	0.08	0.08	0.09	0.09	0.07	0.11	0.11	0.02
"06_4734"	0.12	0.02	0.03	0.05	0.09	0.09	0.09	0.1	1	0.02	0.01	0.11	0.77	0.02	0.09	0.09	0.11	0.03	0.02	0.06	0	0	0.02	0.01	0.03	0.03	0.91	0.1	0.16	0.01	0.02	0.02	0.02	0.07	0.01	0.16	0.13	0.09	0.12	0.04	0.13	0.15	0.16	0.13	0.13	0.12	0.01	0.05	0.13	0.02	0.01	0.01	0.01	0.07	0.1	0.1	0.13	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.13	0.13	0.02	0.13	0.02	0.02	0.02	0.15	0.03	0	0.11	0.95	0	0.11	0.01	0.96	0.99	0.96	0.01	0	0.13	0.13	0.11	0.13	0.01	0.01	0.01	0.02	0	0.06	0.01	0.01	0.1	0.01	0	0.11	0.01	0.01	0.01	0.01	0.06	0.14	0.01	0.01	0.01	0	0.02	0	0.01	0.01	0.07	0.01	0.01	0.01	0.07	0.07	0.07	0.09	0.07	0	0.01	0.09	0.07	0.08	0.08	0.08	0.08	0	0.07	0.09	0.09	0.07	0.01	0	0.92	0.13	0.02	0.1	0.13	0.01	0.09	0.12	0.13	0.13	0.91	0.15	0.06	0	0.11	0.12	0.93	0.13	0.01	0.03	0.14	0	0.01	0.01	0.07	0	0.94	0.09	0.12	0.01	0.03	0	0	0	0	0.01	0.01	0	0.07	0.07	0	0	0	0.13	0.03	0.08	0.08	0.1	0.08	0	0.94	0.16	0.02	0.94	0.01	0.01	0.09	0	0	0	0	0	0.05	0	0	0	0.02	0.02	0.13	0.13	0	0	0.02	0.02	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0.01	0.03	0	0.01	0	0	0.01	0.09	0	0.01	0.01	0	0	0.13	0.1	0	0.12	0	0.05	0.12	0	0	0.12	0	0.07	0.01	0.01	0.01	0.01	0	0	0.01	0.13	0.13	0.13	0.13	0.13	0.15	0.16	0.15	0.05	0.05	0.13	0.08	0.08	0.09
"06_4911"	0.01	0.99	0.01	0.01	0.01	0.01	0.01	0.01	0.02	1	0.68	0.02	0.03	0.62	0.01	0.01	0.02	0	0.62	0.02	0.02	0.02	0.01	0.44	0.01	0	0.02	0.02	0.02	0.62	0.98	0.84	1	0.01	0.48	0.02	0.01	0.01	0.01	0.01	0	0.02	0.02	0.02	0	0.01	0.45	0.04	0.01	0.97	0.63	0.48	0.63	0.01	0.01	0.01	0.01	0.92	0.91	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.91	0.47	0.92	0.48	0.01	0.01	1	0.01	0.97	0.97	0.97	0.02	0	0	0.02	0.03	0	0.02	0.59	0.02	0.02	0.02	0.47	0.01	0.01	0.01	0.02	0.02	0.61	0.61	0.59	0.98	0.46	0.02	0.47	0.48	0.02	0.46	0.46	0.02	0.61	0.48	0.45	0.46	0.02	0	0.54	0.59	0.55	0.48	0.94	0.5	0.48	0.48	0.02	0.64	0.55	0.56	0.02	0.02	0.01	0.02	0.01	0	0.63	0.01	0.01	0.03	0.02	0.02	0.03	0	0.02	0.04	0.03	0.01	0.63	0.5	0.02	0.01	0.94	0.02	0	0.64	0.03	0	0.02	0.02	0.02	0.02	0.01	0	0.02	0.01	0.02	0.01	0.63	0.01	0	0	0	0	0.01	0.49	0.02	0.01	0.01	0	0.01	0	0	0	0	0.48	0.64	0	0.01	0.01	0	0	0	0.03	0.01	0.02	0.02	0.02	0.01	0	0.02	0.02	0.65	0.02	0.48	0.48	0.01	0	0	0.03	0	0.04	0.01	0	0	0.46	0.94	0.93	0.01	0.01	0	0	0.94	0.94	0.04	0	0	0.48	0.47	0.01	0	0	0	0	0.48	0	0	0.5	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0.47	0.03	0.03	0.48	0.01	0.05	0	0.48	0	0	0.02	0.02	0	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0.45	0.46	0.46	0.46	0.03	0	0.48	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0	0.01	0.01	0.02
