"Var1"	"Var2"	"value"
"1"	"A_AvianAbbatoirA_Chicken"	"A_AvianAbbatoirA_Chicken"	1
"2"	"A_AvianFaecalA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.589473684210526
"3"	"A_AvianRetailA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.802631578947368
"4"	"A_AvianFaecalA_Duck"	"A_AvianAbbatoirA_Chicken"	0.589473684210526
"5"	"A_AvianFaecalA_Goose"	"A_AvianAbbatoirA_Chicken"	0.578947368421053
"6"	"A_AvianFaecalA_Pelican"	"A_AvianAbbatoirA_Chicken"	0.426315789473684
"7"	"A_AvianFaecalA_Seagull"	"A_AvianAbbatoirA_Chicken"	0.497368421052632
"8"	"A_AvianFaecalA_Sparrow"	"A_AvianAbbatoirA_Chicken"	0.426315789473684
"9"	"A_AvianFaecalA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.631578947368421
"10"	"A_AvianRetailA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.802631578947368
"11"	"A_AvianFaecalA_Wild_Bird"	"A_AvianAbbatoirA_Chicken"	0.426315789473684
"12"	"A_CompanionFaecalA_Cat"	"A_AvianAbbatoirA_Chicken"	0.507894736842105
"13"	"A_CompanionFaecalA_Dog"	"A_AvianAbbatoirA_Chicken"	0.507894736842105
"14"	"A_EquineFaecalA_Donkey"	"A_AvianAbbatoirA_Chicken"	0.465789473684211
"15"	"A_EquineFaecalA_Horse"	"A_AvianAbbatoirA_Chicken"	0.48421052631579
"16"	"A_MiscDomesticFaecalA_Llama/Alpaca"	"A_AvianAbbatoirA_Chicken"	0.473684210526316
"17"	"A_MiscWildFaecalA_Bear"	"A_AvianAbbatoirA_Chicken"	0.281578947368421
"18"	"A_MiscWildFaecalA_Marmot"	"A_AvianAbbatoirA_Chicken"	0.323684210526316
"19"	"A_MiscWildFaecalA_Peromyscus"	"A_AvianAbbatoirA_Chicken"	0.323684210526316
"20"	"A_MiscWildFaecalA_Raccoon"	"A_AvianAbbatoirA_Chicken"	0.355263157894737
"21"	"A_MiscWildFaecalA_Rattus"	"A_AvianAbbatoirA_Chicken"	0.281578947368421
"22"	"A_MiscWildFaecalA_Skunk"	"A_AvianAbbatoirA_Chicken"	0.281578947368421
"23"	"A_MiscWildFaecalA_Small_Mammal"	"A_AvianAbbatoirA_Chicken"	0.281578947368421
"24"	"A_PorcineFaecalA_Pig"	"A_AvianAbbatoirA_Chicken"	0.613157894736842
"25"	"A_PorcineRetailA_Pig"	"A_AvianAbbatoirA_Chicken"	0.7
"26"	"A_RuminantFaecalA_Buffalo"	"A_AvianAbbatoirA_Chicken"	0.528947368421053
"27"	"A_RuminantAbbatoirA_Cow"	"A_AvianAbbatoirA_Chicken"	0.784210526315789
"28"	"A_RuminantFaecalA_Cow"	"A_AvianAbbatoirA_Chicken"	0.486842105263158
"29"	"A_RuminantRetailA_Cow"	"A_AvianAbbatoirA_Chicken"	0.7
"30"	"A_RuminantFaecalA_Deer"	"A_AvianAbbatoirA_Chicken"	0.281578947368421
"31"	"A_RuminantFaecalA_Goat"	"A_AvianAbbatoirA_Chicken"	0.452631578947368
"32"	"A_RuminantFaecalA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.452631578947368
"33"	"A_RuminantRetailA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.686842105263158
"34"	"E_LagoonLagoonE_Lagoon"	"A_AvianAbbatoirA_Chicken"	0.347368421052632
"35"	"E_SandMisc_EnvironmentalE_Sand"	"A_AvianAbbatoirA_Chicken"	0.297368421052632
"36"	"E_SewageSewageE_Sewage"	"A_AvianAbbatoirA_Chicken"	0.431578947368421
"37"	"E_WaterWaterE_Water"	"A_AvianAbbatoirA_Chicken"	0.392105263157895
"38"	"HumanClinicalHuman"	"A_AvianAbbatoirA_Chicken"	0.457894736842105
"39"	"A_AvianAbbatoirA_Chicken"	"A_AvianFaecalA_Chicken"	0.589473684210526
"40"	"A_AvianFaecalA_Chicken"	"A_AvianFaecalA_Chicken"	1
"41"	"A_AvianRetailA_Chicken"	"A_AvianFaecalA_Chicken"	0.573684210526316
"42"	"A_AvianFaecalA_Duck"	"A_AvianFaecalA_Chicken"	0.826315789473684
