Strain	Source	Country	Province/State	City	Latitude	Longitude	Day	Month	Year
CI_5997	A_MiscWildFaecalA_Raccoon	Canada	Ontario		51.253775	-85.3232139	19	7	2012
CI_5947	A_EquineFaecalA_Horse	Canada	Alberta		53.9332706	-116.5765035	8	8	2012
CI_5943	A_EquineFaecalA_Horse	Canada	Alberta		53.9332706	-116.5765035	8	8	2012
CI_5906	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	8	8	2012
CI_5889	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	8	8	2012
CI_5692	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	9	7	2012
CI_5429	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	29	5	2012
CI_5357	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	24	4	2012
CI_5328	A_RuminantFaecalA_Cow	Canada	Alberta		53.9332706	-116.5765035	24	4	2012
CI_5300	A_RuminantFaecalA_Cow	Canada	Alberta	Lethbridge	49.69349	-112.84184	19	12	2011
CI_5292	A_RuminantFaecalA_Cow	Canada	Alberta	Lethbridge	49.69349	-112.84184	13	12	2011
CI_5265	A_RuminantFaecalA_Cow	Canada	Alberta	Lethbridge	49.69349	-112.84184	6	12	2011
CI_5254	A_RuminantFaecalA_Cow	Canada	Alberta	Lethbridge	49.69349	-112.84184	29	11	2011
CI_5245	A_RuminantFaecalA_Cow	Canada	Alberta	Lethbridge	49.69349	-112.84184	21	11	2011
CI_5198	E_WaterWaterE_Water	Canada	Ontario		51.253775	-85.3232139	21	11	2011
CI_5034	E_WaterWaterE_Water	Canada	Ontario		51.253775	-85.3232139	24	10	2011
CI_4990	A_MiscWildFaecalA_Raccoon	Canada	Ontario		51.253775	-85.3232139	13	10	2011
CI_4909	A_MiscWildFaecalA_Raccoon	Canada	Ontario		51.253775	-85.3232139	4	10	2011
CI_4864	A_MiscWildFaecalA_Raccoon	Canada	Ontario		51.253775	-85.3232139	5	10	2011
CI_4835	A_MiscWildFaecalA_Raccoon	Canada	Ontario		51.253775	-85.3232139	4	10	2011
CI_4806	E_WaterWaterE_Water	Canada	Ontario		51.253775	-85.3232139	26	9	2011
CI_4458	A_RuminantFaecalA_Cow	Canada	Alberta	Stirling	49.5023104	-112.5231788	4	7	2011
CI_4447	A_RuminantFaecalA_Cow	Canada	Alberta	Stirling	49.5023104	-112.5231788	4	7	2011
