"06_3851"	"06_6554"	"06_7656"	"07_0971"	"07_6215"	"08_0100"	"08_1700"	"08_1711"	"08_1714"	"CE_M_09_1073"	"CE_M_09_3054"	"CE_M_10_4053"	"CE_M_10_4054"	"CE_R_10_0273"	"CE_R_10_0305"	"CE_R_10_0306"	"CE_R_11_0270"	"CE_R2_11_0134"	"CE_R2_11_0350"	"CE_R2_11_0374"	"CGY_HR_076"	"CGY_HR_080"	"CHR_026"	"CHR_028"	"CHR_090"	"CHR_130"	"CI_0136"	"CI_0165"	"CI_0168"	"CI_0182"	"CI_0346"	"CI_0392"	"CI_0405"	"CI_0450"	"CI_0532"	"CI_0637"	"CI_0677"	"CI_0697"	"CI_0765"	"CI_1096"	"CI_1109"	"CI_1653"	"CI_1660"	"CI_1920"	"CI_1943"	"CI_1964"	"CI_1969"	"CI_2009"	"CI_2423"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_2705"	"CI_2989"	"CI_3074"	"CI_4353"	"CI_4835"	"CI_5997"
"06_3851"	1	0.701190476190476	0.811509775316402	0.794372724871971	0.77037347308686	0.57683656152163	0.575395199218719	0.571631205974444	0.569881952725334	0.458784065890979	0.440224633526817	0.44875936779187	0.44875936779187	0.527121922610207	0.526759168462548	0.526759168462548	0.516413136566509	0.520766224494277	0.497428771137734	0.497006189104889	0.586466094678312	0.586560244918424	0.564791469977542	0.564998471059855	0.589729150186371	0.589529049173411	0.261704903821221	0.261704903821221	0.261704903821221	0.26200110681491	0.268957124904722	0.278540070574763	0.295023073049134	0.245512811197662	0.246231691057345	0.281983563817041	0.288655862422517	0.248238525057995	0.250671717924746	0.293407975734642	0.295336213488823	0.314862821493161	0.339208448163233	0.390956613381223	0.460515460142503	0.457956981223315	0.457956981223315	0.49311289551686	0.362420962945796	0.312101375845493	0.312101375845493	0.30626155694119	0.298622758076542	0.256994935485474	0.252766233720607	0.231675221257126	0.213438091543059	0.208169714867641
"06_6554"	0.701190476190476	1	0.512454225372865	0.495407197299239	0.471481580745908	0.54459587159584	0.54315819183575	0.539403175466981	0.537657797932041	0.669464165861673	0.738998408071134	0.659447480605899	0.659447480605899	0.494953037820801	0.494590534024967	0.494590534024967	0.484250712877708	0.488601394378027	0.465265682745534	0.464843327242285	0.2877507211089	0.287845108205211	0.266033589467289	0.266240876464152	0.291020078514487	0.290819442469534	0.560563632688285	0.560563632688285	0.560563632688285	0.560860225940309	0.527343042480715	0.434545556774504	0.355791459495211	0.496758099451935	0.361763754739685	0.43799415866938	0.499429001248471	0.363773661109541	0.501925092455177	0.592324849691783	0.594259950022759	0.430669576671577	0.455040270221484	0.644735622836808	0.525648830021443	0.674454823324979	0.674454823324979	0.744303371707336	0.477534649626152	0.427276208468599	0.427276208468599	0.421436389564296	0.41385292241872	0.372389828311229	0.368169783610706	0.530464192422478	0.424132810711402	0.418866996796911
"06_7656"	0.811509775316402	0.512454225372865	1	0.832015467198456	0.785627310238842	0.59580674086066	0.593446286419489	0.58753222954925	0.584891622922561	0.464379984987539	0.44609771238806	0.452966323760009	0.452966323760009	0.531304171181679	0.530898871010434	0.530898871010434	0.519512597874811	0.524265303755742	0.500638187566243	0.500178096620549	0.574356007868504	0.574424162021661	0.557668200201527	0.557839324105917	0.576933518065974	0.576791131363786	0.254889002960867	0.254889002960867	0.254889002960867	0.255135838397202	0.261715913642439	0.271233714961378	0.287592562192168	0.237993837150899	0.238581140007481	0.274044411289257	0.280638284235924	0.240209616059939	0.242161621976894	0.279876165607795	0.281086196725809	0.28307317932002	0.305834661410615	0.300538298119426	0.352304348443904	0.340785832681065	0.340785832681065	0.304376644699249	0.390294043394043	0.367932317158808	0.367932317158808	0.362092498254505	0.48711298276014	0.272004605682701	0.265858545499487	0.234937919257861	0.216537552851362	0.210848253524042
"07_0971"	0.794372724871971	0.495407197299239	0.832015467198456	1	0.79849983206895	0.613799771800723	0.61005725130251	0.601213220194691	0.597467137949312	0.468047340449616	0.449971794321834	0.455636535875588	0.455636535875588	0.533957210958942	0.533522384971138	0.533522384971138	0.521431469776973	0.526451003682883	0.502630005597977	0.502144990612926	0.568796853027184	0.568855613964796	0.554088391643867	0.554243910419892	0.571129587607502	0.571007574976407	0.25144376983494	0.25144376983494	0.25144376983494	0.251668883616259	0.258084885658142	0.267574495000437	0.283879806304321	0.23424309010974	0.234774122450905	0.27011495073536	0.276675781506933	0.236242347560721	0.237993837150899	0.273816030104045	0.274782535859546	0.272350269030753	0.294823659405456	0.284657704085553	0.33594430856425	0.324259374076096	0.324259374076096	0.287329616625623	0.351718638002703	0.314603559588031	0.314603559588031	0.308763740683727	0.319128449958595	0.284580120709452	0.276242000141218	0.236965213403187	0.218456424753523	0.212491132339952
"07_6215"	0.77037347308686	0.471481580745908	0.785627310238842	0.79849983206895	1	0.639544401120774	0.648309361912718	0.698397068015018	0.732775243453268	0.478884646111609	0.461562102677545	0.463092160086662	0.463092160086662	0.541357934413679	0.54082895897068	0.54082895897068	0.526579098211529	0.532396887129563	0.507993620777464	0.507434620815789	0.55791538300635	0.557959341829184	0.546555930685025	0.546683113352562	0.559865482050878	0.559775075137263	0.244157058933599	0.244157058933599	0.244157058933599	0.244342337586648	0.250459543500346	0.259898181449966	0.276106994441895	0.226402032798418	0.226832337526586	0.261955433045256	0.268457843935697	0.228015995659612	0.229416115249385	0.262158182457988	0.26275667159303	0.254544440621451	0.276691469163486	0.261716084175066	0.312591388016507	0.300765949232324	0.300765949232324	0.263404000072292	0.316313964889197	0.275263986877218	0.275263986877218	0.269424167972914	0.272740292998982	0.419888226213408	0.332877718786658	0.242434473912863	0.223604053188079	0.216836339364411
"08_0100"	0.57683656152163	0.54459587159584	0.59580674086066	0.613799771800723	0.639544401120774	1	0.850778020395971	0.848309361912718	0.788922243079203	0.589182306937772	0.523936224425968	0.527093646166372	0.527093646166372	0.691094586022335	0.690601373366777	0.738220420985825	0.677156394051453	0.682679966022203	0.65849169915337	0.657959867183282	0.361219910331845	0.361267919104865	0.348913911817846	0.349049359080461	0.363274328607642	0.363175334220406	0.313109844901862	0.313109844901862	0.313109844901862	0.31330679470318	0.31951126481031	0.309917120954338	0.328534936864839	0.295516448883969	0.236452131738185	0.312114319761648	0.337681182803863	0.237717947971916	0.298742711684145	0.332340236980877	0.333037570782243	0.26676323842437	0.288987856251095	0.33462141125159	0.368917918438935	0.373788990298331	0.373788990298331	0.336518290922223	0.332042694889714	0.291609854749716	0.291609854749716	0.285770035845413	0.290062580763657	0.330797130601247	0.310775559642574	0.307179413812523	0.300371825218479	0.293895891718033
"08_1700"	0.575395199218719	0.54315819183575	0.593446286419489	0.61005725130251	0.648309361912718	0.850778020395971	1	0.812147882900109	0.844554345543949	0.542359867821189	0.524790904914636	0.575252542681906	0.575252542681906	0.739249371220878	0.738749112462936	0.691130064843888	0.725144119884352	0.73072650232596	0.706495295929728	0.705958023965898	0.3605070544799	0.360554159132662	0.348410295518087	0.34854393359703	0.362538160104633	0.362441086697321	0.312621946596048	0.312621946596048	0.312621946596048	0.312816345222646	0.319001720749585	0.30940432685341	0.328015995659612	0.342612212553355	0.264493873615517	0.311570821348987	0.384753032814032	0.265741646363141	0.345791841747418	0.331580207257752	0.332255356536447	0.294219059008633	0.316425698565334	0.380852426929088	0.367509035096712	0.419992064175248	0.419992064175248	0.38269965878118	0.358656173963819	0.318068970333405	0.318068970333405	0.312229151429102	0.316273554893915	0.367381614018374	0.343836662899943	0.307571737195543	0.300740503432331	0.294205881234113
"08_1711"	0.571631205974444	0.539403175466981	0.58753222954925	0.601213220194691	0.698397068015018	0.848309361912718	0.812147882900109	1	0.838153968685871	0.592303835715296	0.527293088657173	0.529187752547043	0.529187752547043	0.693172411247565	0.692651307717941	0.740270355336989	0.678577071584946	0.684331003927362	0.659974439422796	0.659421325950956	0.358580235329738	0.358624980535991	0.34703510515474	0.347163925370549	0.360550568358569	0.360458497512374	0.311288649157831	0.311288649157831	0.311288649157831	0.311476243803634	0.317610747908623	0.30800470475721	0.326600021917482	0.293565645153927	0.234477911225775	0.310089621722561	0.33564297372585	0.235677794007696	0.29662159707875	0.329530553647704	0.330148129330876	0.262689641909471	0.284851159571382	0.329599685119731	0.363824319909764	0.368670974218111	0.368670974218111	0.331325594793364	0.325090702156568	0.284146824324048	0.284146824324048	0.278307005419745	0.281788069452247	0.380028856207916	0.331771701005161	0.308692582811025	0.301792502751972	0.295087730302995
"08_1714"	0.569881952725334	0.537657797932041	0.584891622922561	0.597467137949312	0.732775243453268	0.788922243079203	0.844554345543949	0.838153968685871	1	0.545903605047353	0.528609674656427	0.577608760337911	0.577608760337911	0.741586941336243	0.741054750129546	0.693435702510499	0.726733391167824	0.732577122148689	0.708154876832274	0.707593487041843	0.357652706197131	0.357696358152021	0.346365961413369	0.34649250065978	0.359594912241272	0.359505154181725	0.310639357411101	0.310639357411101	0.310639357411101	0.310823725600266	0.316934133718513	0.307323998508012	0.325911583317884	0.340490797282814	0.262347407634793	0.309370388496508	0.382538162538754	0.263524698114337	0.343488451608332	0.328546242515236	0.329137297349465	0.28986516834604	0.31200661440068	0.375525865850614	0.362109340473304	0.414567542594658	0.414567542594658	0.377199264877472	0.351394114082416	0.310304263130174	0.310304263130174	0.304464444225871	0.307718891396986	0.522827268474425	0.372476731806155	0.309265817585656	0.302329774715802	0.295536551303689
"CE_M_09_1073"	0.458784065890979	0.669464165861673	0.464379984987539	0.468047340449616	0.478884646111609	0.589182306937772	0.542359867821189	0.592303835715296	0.545903605047353	1	0.786899843238839	0.734129625542824	0.734129625542824	0.568961074030913	0.567464397201103	0.615083444820151	0.536369848265924	0.547469627111983	0.519131050752723	0.518104412275029	0.258310175031062	0.25833526286282	0.251707925124542	0.251790293655969	0.259777834151146	0.259726857443581	0.45922522206778	0.45922522206778	0.45922522206778	0.45934644624754	0.464988779181442	0.391014046078548	0.340405428116156	0.440594440359715	0.317059626345722	0.392326175716202	0.482073469039456	0.317809385686019	0.442494535025226	0.471109304738077	0.471264541237065	0.333348510101783	0.355212965379076	0.460357876720269	0.360954120985223	0.499034520919361	0.499034520919361	0.461386585188057	0.384508276534668	0.341951553632158	0.341951553632158	0.336111734727854	0.337207253461964	0.352064206855112	0.355457704629663	0.497108710088165	0.435775755623427	0.424448452559909
