"Var1"	"Var2"	"value"
"1"	"A_AvianAbbatoirA_Chicken"	"A_AvianAbbatoirA_Chicken"	1
"2"	"A_AvianFaecalA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.75
"3"	"A_AvianRetailA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.897619047619048
"4"	"A_AvianFaecalA_Duck"	"A_AvianAbbatoirA_Chicken"	0.669047619047619
"5"	"A_AvianFaecalA_Goose"	"A_AvianAbbatoirA_Chicken"	0.669047619047619
"6"	"A_AvianFaecalA_Pelican"	"A_AvianAbbatoirA_Chicken"	0.492857142857143
"7"	"A_AvianFaecalA_Seagull"	"A_AvianAbbatoirA_Chicken"	0.492857142857143
"8"	"A_AvianFaecalA_Sparrow"	"A_AvianAbbatoirA_Chicken"	0.492857142857143
"9"	"A_AvianFaecalA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.70952380952381
"10"	"A_AvianRetailA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.857142857142857
"11"	"A_AvianFaecalA_Wild_Bird"	"A_AvianAbbatoirA_Chicken"	0.492857142857143
"12"	"A_CompanionFaecalA_Cat"	"A_AvianAbbatoirA_Chicken"	0.535714285714286
"13"	"A_CompanionFaecalA_Dog"	"A_AvianAbbatoirA_Chicken"	0.535714285714286
"14"	"A_EquineFaecalA_Donkey"	"A_AvianAbbatoirA_Chicken"	0.573809523809524
"15"	"A_EquineFaecalA_Horse"	"A_AvianAbbatoirA_Chicken"	0.580952380952381
"16"	"A_MiscDomesticFaecalA_Llama/Alpaca"	"A_AvianAbbatoirA_Chicken"	0.542857142857143
"17"	"A_MiscWildFaecalA_Bear"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"18"	"A_MiscWildFaecalA_Marmot"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"19"	"A_MiscWildFaecalA_Peromyscus_"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"20"	"A_MiscWildFaecalA_Raccoon"	"A_AvianAbbatoirA_Chicken"	0.414285714285714
"21"	"A_MiscWildFaecalA_Rattus"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"22"	"A_MiscWildFaecalA_Skunk"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"23"	"A_MiscWildFaecalA_Small_Mammal"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"24"	"A_MiscWildFaecalA_Unknown"	"A_AvianAbbatoirA_Chicken"	0.445238095238095
"25"	"A_PorcineFaecalA_Pig"	"A_AvianAbbatoirA_Chicken"	0.654761904761905
"26"	"A_PorcineRetailA_Pig"	"A_AvianAbbatoirA_Chicken"	0.802380952380952
"27"	"A_RuminantFaecalA_Buffalo"	"A_AvianAbbatoirA_Chicken"	0.614285714285714
"28"	"A_RuminantAbbatoirA_Cow"	"A_AvianAbbatoirA_Chicken"	0.904761904761905
"29"	"A_RuminantFaecalA_Cow"	"A_AvianAbbatoirA_Chicken"	0.614285714285714
"30"	"A_RuminantRetailA_Cow"	"A_AvianAbbatoirA_Chicken"	0.802380952380952
"31"	"A_RuminantFaecalA_Deer"	"A_AvianAbbatoirA_Chicken"	0.438095238095238
"32"	"A_RuminantFaecalA_Goat"	"A_AvianAbbatoirA_Chicken"	0.576190476190476
"33"	"A_RuminantFaecalA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.623809523809524
"34"	"A_RuminantRetailA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.802380952380952
"35"	"E_LagoonLagoonE_Lagoon"	"A_AvianAbbatoirA_Chicken"	0.454761904761905
"36"	"E_SandMisc_EnvironmentalE_Sand"	"A_AvianAbbatoirA_Chicken"	0.373809523809524
"37"	"E_SewageSewageE_Sewage"	"A_AvianAbbatoirA_Chicken"	0.576190476190476
"38"	"E_UnknownMisc_EnvironmentalE_Unknown"	"A_AvianAbbatoirA_Chicken"	0.519047619047619
"39"	"E_WaterWaterE_Water"	"A_AvianAbbatoirA_Chicken"	0.488095238095238
"40"	"HumanClinicalHuman"	"A_AvianAbbatoirA_Chicken"	0.645238095238095
"41"	"A_AvianAbbatoirA_Chicken"	"A_AvianFaecalA_Chicken"	0.75
"42"	"A_AvianFaecalA_Chicken"	"A_AvianFaecalA_Chicken"	1
"43"	"A_AvianRetailA_Chicken"	"A_AvianFaecalA_Chicken"	0.671428571428571
"44"	"A_AvianFaecalA_Duck"	"A_AvianFaecalA_Chicken"	0.919047619047619
"45"	"A_AvianFaecalA_Goose"	"A_AvianFaecalA_Chicken"	0.919047619047619
"46"	"A_AvianFaecalA_Pelican"	"A_AvianFaecalA_Chicken"	0.742857142857143
"47"	"A_AvianFaecalA_Seagull"	"A_AvianFaecalA_Chicken"	0.742857142857143
"48"	"A_AvianFaecalA_Sparrow"	"A_AvianFaecalA_Chicken"	0.742857142857143
"49"	"A_AvianFaecalA_Turkey"	"A_AvianFaecalA_Chicken"	0.959523809523809
"50"	"A_AvianRetailA_Turkey"	"A_AvianFaecalA_Chicken"	0.630952380952381
"51"	"A_AvianFaecalA_Wild_Bird"	"A_AvianFaecalA_Chicken"	0.742857142857143
"52"	"A_CompanionFaecalA_Cat"	"A_AvianFaecalA_Chicken"	0.623809523809524
