Name	Source	Animal 	Food.Prod	Retail	Domestic 	Wild	Avian	Ruminant	Porcine	Other	Human	Hum.Retail	Food.Assoc	Rural	Urban	Environ.	Water	Soil	Farm	Food 
A_AvianAbbatoirA_Chicken	1	1	7	7	7	0	1	0	0	0	7	7	7	7	0	0	0	0	1	1
A_AvianFaecalA_Chicken	2	1	1	0	1	0	1	0	0	0	7	0	0	7	0	7	7	7	1	7
A_AvianRetailA_Chicken	3	1	1	1	7	0	1	0	0	0	7	7	7	7	7	0	0	0	1	1
A_AvianFaecalA_Duck	4	1	1	0	1	7	1	0	0	0	7	0	0	7	0	7	7	0	1	7
A_AvianFaecalA_Goose	5	1	1	0	0	7	1	0	0	0	7	0	0	7	0	7	7	0	1	7
A_AvianFaecalA_Pelican	6	1	0	0	0	1	1	0	0	0	0	0	0	0	0	7	7	0	0	0
A_AvianFaecalA_Seagull	7	1	0	0	7	1	1	0	0	0	7	0	0	7	7	7	7	0	7	0
A_AvianFaecalA_Sparrow	8	1	0	0	0	1	1	0	0	0	0	0	0	0	0	7	7	0	0	0
A_AvianFaecalA_Turkey	9	1	1	0	1	0	1	0	0	0	7	0	0	7	0	7	7	0	1	7
A_AvianRetailA_Turkey	10	1	1	1	7	0	1	0	0	0	7	7	7	7	7	0	0	0	1	1
A_AvianFaecalA_Wild_Bird	11	1	0	0	0	1	1	0	0	0	0	0	0	0	0	7	7	0	0	0
A_CompanionFaecalA_Cat	12	1	0	0	1	0	0	0	0	1	7	0	0	7	7	0	0	0	7	0
A_CompanionFaecalA_Dog	13	1	0	0	1	0	0	0	0	1	7	0	0	7	7	0	0	0	7	0
A_EquineFaecalA_Donkey	14	1	0	0	1	0	0	7	0	0	7	0	0	7	0	7	7	7	1	0
A_EquineFaecalA_Horse	15	1	0	0	1	0	0	7	0	0	7	0	0	7	0	7	7	7	1	7
A_MiscDomesticFaecalA_Llama/Alpaca	16	1	0	0	7	0	0	7	0	0	7	0	0	0	0	7	7	7	1	7
A_MiscWildFaecalA_Bear	17	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	7	7	0	0
A_MiscWildFaecalA_Marmot	18	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	0	7	0	0
A_MiscWildFaecalA_Peromyscus	19	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	0	7	0	0
A_MiscWildFaecalA_Raccoon	20	1	0	0	7	1	0	0	0	1	7	0	0	0	7	7	7	7	1	0
A_MiscWildFaecalA_Rattus	21	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	7	7	0	0
A_MiscWildFaecalA_Skunk	22	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	7	7	0	0
A_MiscWildFaecalA_Small_Mammal	23	1	0	0	0	1	0	0	0	1	0	0	0	0	0	7	7	7	0	0
A_PorcineFaecalA_Pig	24	1	1	0	1	0	0	0	1	0	7	0	0	7	0	0	0	0	1	7
A_PorcineRetailA_Pig	25	1	1	1	7	0	0	0	1	0	7	7	7	7	7	0	0	0	1	1
A_RuminantFaecalA_Buffalo	26	1	7	0	7	0	0	1	0	0	7	0	0	7	0	7	7	7	1	7
A_RuminantAbbatoirA_Cow	27	1	7	7	7	0	0	1	0	0	7	7	7	7	0	0	0	0	1	1
A_RuminantFaecalA_Cow	28	1	1	0	1	0	0	1	0	0	7	0	0	7	0	7	7	7	1	7
A_RuminantRetailA_Cow	29	1	1	1	7	0	0	1	0	0	7	7	7	7	7	0	0	0	1	1
A_RuminantFaecalA_Deer	30	1	0	0	0	1	0	1	0	0	0	0	0	0	0	7	7	7	0	0
A_RuminantFaecalA_Goat	31	1	7	0	7	7	0	1	0	0	7	0	0	7	0	7	7	7	7	7
A_RuminantFaecalA_Sheep	32	1	7	0	7	7	0	1	0	0	7	0	0	7	0	7	7	7	7	7
A_RuminantRetailA_Sheep	33	1	7	1	7	0	0	1	0	0	7	7	7	7	7	0	0	0	7	1
E_LagoonLagoonE_Lagoon	34	7	7	0	0	7	7	7	7	0	0	0	0	7	0	1	1	0	7	0
E_SandMisc_EnvironmentalE_Sand	35	0	0	0	0	7	7	0	0	0	0	0	0	0	0	1	7	7	0	0
E_SewageSewageE_Sewage	36	7	0	0	0	0	0	0	0	0	7	0	0	7	7	1	1	0	7	7
E_WaterWaterE_Water	37	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	1	0	7	0
HumanClinicalHuman	38	0	1	1	1	0	0	0	0	0	1	1	1	1	1	7	7	7	1	1
