"A_AvianAbbatoirA_Chicken" "A_AvianFaecalA_Chicken" "A_AvianRetailA_Chicken" "A_AvianFaecalA_Duck" "A_AvianFaecalA_Goose" "A_AvianFaecalA_Pelican" "A_AvianFaecalA_Seagull" "A_AvianFaecalA_Sparrow" "A_AvianFaecalA_Turkey" "A_AvianRetailA_Turkey" "A_AvianFaecalA_Wild_Bird" "A_CompanionFaecalA_Cat" "A_CompanionFaecalA_Dog" "A_EquineFaecalA_Donkey" "A_EquineFaecalA_Horse" "A_MiscDomesticFaecalA_Llama/Alpaca" "A_MiscWildFaecalA_Bear" "A_MiscWildFaecalA_Marmot" "A_MiscWildFaecalA_Peromyscus" "A_MiscWildFaecalA_Raccoon" "A_MiscWildFaecalA_Rattus" "A_MiscWildFaecalA_Skunk" "A_MiscWildFaecalA_Small_Mammal" "A_PorcineFaecalA_Pig" "A_PorcineRetailA_Pig" "A_RuminantFaecalA_Buffalo" "A_RuminantAbbatoirA_Cow" "A_RuminantFaecalA_Cow" "A_RuminantRetailA_Cow" "A_RuminantFaecalA_Deer" "A_RuminantFaecalA_Goat" "A_RuminantFaecalA_Sheep" "A_RuminantRetailA_Sheep" "E_LagoonLagoonE_Lagoon" "E_SandMisc_EnvironmentalE_Sand" "E_SewageSewageE_Sewage" "E_WaterWaterE_Water" "HumanClinicalHuman"
"A_AvianAbbatoirA_Chicken" 1 0.628947368421053 0.886842105263158 0.628947368421053 0.618421052631579 0.439473684210526 0.547368421052632 0.439473684210526 0.673684210526316 0.886842105263158 0.439473684210526 0.55 0.55 0.502631578947368 0.521052631578947 0.510526315789474 0.289473684210526 0.33421052631579 0.33421052631579 0.386842105263158 0.289473684210526 0.289473684210526 0.289473684210526 0.657894736842105 0.781578947368421 0.592105263157895 0.894736842105263 0.523684210526316 0.781578947368421 0.289473684210526 0.513157894736842 0.513157894736842 0.781578947368421 0.381578947368421 0.307894736842105 0.471052631578947 0.407894736842105 0.468421052631579
"A_AvianFaecalA_Chicken" 0.628947368421053 1 0.610526315789474 0.910526315789474 0.857894736842105 0.610526315789474 0.692105263157895 0.610526315789474 0.955263157894737 0.610526315789474 0.610526315789474 0.584210526315789 0.584210526315789 0.805263157894737 0.85 0.771052631578947 0.55 0.505263157894737 0.505263157894737 0.621052631578947 0.55 0.55 0.55 0.760526315789474 0.505263157894737 0.826315789473684 0.523684210526316 0.894736842105263 0.505263157894737 0.55 0.747368421052632 0.747368421052632 0.436842105263158 0.473684210526316 0.542105263157895 0.61578947368421 0.526315789473684 0.581578947368421
"A_AvianRetailA_Chicken" 0.886842105263158 0.610526315789474 1 0.610526315789474 0.6 0.378947368421053 0.576315789473684 0.378947368421053 0.655263157894737 1 0.378947368421053 0.578947368421053 0.578947368421053 0.442105263157895 0.460526315789474 0.45 0.228947368421053 0.273684210526316 0.273684210526316 0.415789473684211 0.228947368421053 0.228947368421053 0.228947368421053 0.639473684210526 0.894736842105263 0.505263157894737 0.781578947368421 0.505263157894737 0.894736842105263 0.228947368421053 0.426315789473684 0.426315789473684 0.826315789473684 0.294736842105263 0.247368421052632 0.5 0.347368421052632 0.555263157894737
"A_AvianFaecalA_Duck" 0.628947368421053 0.910526315789474 0.610526315789474 1 0.947368421052632 0.673684210526316 0.755263157894737 0.673684210526316 0.955263157894737 0.610526315789474 0.673684210526316 0.584210526315789 0.584210526315789 0.715789473684211 0.760526315789474 0.681578947368421 0.523684210526316 0.478947368421053 0.478947368421053 0.594736842105263 0.523684210526316 0.523684210526316 0.523684210526316 0.760526315789474 0.505263157894737 0.736842105263158 0.523684210526316 0.805263157894737 0.505263157894737 0.523684210526316 0.747368421052632 0.747368421052632 0.436842105263158 0.563157894736842 0.542105263157895 0.61578947368421 0.526315789473684 0.492105263157895
"A_AvianFaecalA_Goose" 0.618421052631579 0.857894736842105 0.6 0.947368421052632 1 0.726315789473684 0.744736842105263 0.726315789473684 0.902631578947368 0.6 0.726315789473684 0.531578947368421 0.531578947368421 0.663157894736842 0.707894736842105 0.671052631578947 0.576315789473684 0.531578947368421 0.531578947368421 0.584210526315789 0.576315789473684 0.576315789473684 0.576315789473684 0.707894736842105 0.494736842105263 0.726315789473684 0.513157894736842 0.752631578947368 0.494736842105263 0.576315789473684 0.736842105263158 0.736842105263158 0.426315789473684 0.615789473684211 0.594736842105263 0.668421052631579 0.578947368421053 0.439473684210526
"A_AvianFaecalA_Pelican" 0.439473684210526 0.610526315789474 0.378947368421053 0.673684210526316 0.726315789473684 1 0.776315789473684 1 0.655263157894737 0.378947368421053 1 0.521052631578947 0.521052631578947 0.610526315789474 0.565789473684211 0.618421052631579 0.85 0.805263157894737 0.805263157894737 0.663157894736842 0.85 0.85 0.85 0.460526315789474 0.273684210526316 0.521052631578947 0.33421052631579 0.505263157894737 0.273684210526316 0.85 0.547368421052632 0.547368421052632 0.289473684210526 0.605263157894737 0.8 0.568421052631579 0.747368421052632 0.271052631578947
"A_AvianFaecalA_Seagull" 0.547368421052632 0.692105263157895 0.576315789473684 0.755263157894737 0.744736842105263 0.776315789473684 1 0.776315789473684 0.736842105263158 0.576315789473684 0.776315789473684 0.718421052631579 0.718421052631579 0.692105263157895 0.647368421052632 0.636842105263158 0.626315789473684 0.581578947368421 0.581578947368421 0.771052631578947 0.626315789473684 0.626315789473684 0.626315789473684 0.542105263157895 0.471052631578947 0.628947368421053 0.442105263157895 0.586842105263158 0.471052631578947 0.626315789473684 0.681578947368421 0.681578947368421 0.513157894736842 0.560526315789474 0.576315789473684 0.702631578947368 0.613157894736842 0.363157894736842
"A_AvianFaecalA_Sparrow" 0.439473684210526 0.610526315789474 0.378947368421053 0.673684210526316 0.726315789473684 1 0.776315789473684 1 0.655263157894737 0.378947368421053 1 0.521052631578947 0.521052631578947 0.610526315789474 0.565789473684211 0.618421052631579 0.85 0.805263157894737 0.805263157894737 0.663157894736842 0.85 0.85 0.85 0.460526315789474 0.273684210526316 0.521052631578947 0.33421052631579 0.505263157894737 0.273684210526316 0.85 0.547368421052632 0.547368421052632 0.289473684210526 0.605263157894737 0.8 0.568421052631579 0.747368421052632 0.271052631578947
"A_AvianFaecalA_Turkey" 0.673684210526316 0.955263157894737 0.655263157894737 0.955263157894737 0.902631578947368 0.655263157894737 0.736842105263158 0.655263157894737 1 0.655263157894737 0.655263157894737 0.628947368421053 0.628947368421053 0.760526315789474 0.805263157894737 0.726315789473684 0.505263157894737 0.460526315789474 0.460526315789474 0.576315789473684 0.505263157894737 0.505263157894737 0.505263157894737 0.805263157894737 0.55 0.781578947368421 0.568421052631579 0.85 0.55 0.505263157894737 0.702631578947368 0.702631578947368 0.481578947368421 0.518421052631579 0.497368421052632 0.660526315789474 0.571052631578947 0.536842105263158
"A_AvianRetailA_Turkey" 0.886842105263158 0.610526315789474 1 0.610526315789474 0.6 0.378947368421053 0.576315789473684 0.378947368421053 0.655263157894737 1 0.378947368421053 0.578947368421053 0.578947368421053 0.442105263157895 0.460526315789474 0.45 0.228947368421053 0.273684210526316 0.273684210526316 0.415789473684211 0.228947368421053 0.228947368421053 0.228947368421053 0.639473684210526 0.894736842105263 0.505263157894737 0.781578947368421 0.505263157894737 0.894736842105263 0.228947368421053 0.426315789473684 0.426315789473684 0.826315789473684 0.294736842105263 0.247368421052632 0.5 0.347368421052632 0.555263157894737
