"A_AvianAbbatoirA_Chicken" "A_AvianFaecalA_Chicken" "A_AvianRetailA_Chicken" "A_AvianFaecalA_Duck" "A_AvianFaecalA_Goose" "A_AvianFaecalA_Pelican" "A_AvianFaecalA_Seagull" "A_AvianFaecalA_Sparrow" "A_AvianFaecalA_Turkey" "A_AvianRetailA_Turkey" "A_AvianFaecalA_Wild_Bird" "A_CompanionFaecalA_Cat" "A_CompanionFaecalA_Dog" "A_EquineFaecalA_Donkey" "A_EquineFaecalA_Horse" "A_MiscDomesticFaecalA_Llama/Alpaca" "A_MiscWildFaecalA_Bear" "A_MiscWildFaecalA_Marmot" "A_MiscWildFaecalA_Peromyscus" "A_MiscWildFaecalA_Raccoon" "A_MiscWildFaecalA_Rattus" "A_MiscWildFaecalA_Skunk" "A_MiscWildFaecalA_Small_Mammal" "A_PorcineFaecalA_Pig" "A_PorcineRetailA_Pig" "A_RuminantFaecalA_Buffalo" "A_RuminantAbbatoirA_Cow" "A_RuminantFaecalA_Cow" "A_RuminantRetailA_Cow" "A_RuminantFaecalA_Deer" "A_RuminantFaecalA_Goat" "A_RuminantFaecalA_Sheep" "A_RuminantRetailA_Sheep" "E_LagoonLagoonE_Lagoon" "E_SandMisc_EnvironmentalE_Sand" "E_SewageSewageE_Sewage" "E_WaterWaterE_Water" "HumanClinicalHuman"
"A_AvianAbbatoirA_Chicken" 1 0.565789473684211 0.823684210526316 0.565789473684211 0.610526315789474 0.33421052631579 0.494736842105263 0.528947368421053 0.655263157894737 0.834210526315789 0.439473684210526 0.55 0.55 0.502631578947368 0.478947368421053 0.468421052631579 0.247368421052632 0.292105263157895 0.292105263157895 0.344736842105263 0.247368421052632 0.247368421052632 0.247368421052632 0.61578947368421 0.694736842105263 0.55 0.807894736842105 0.471052631578947 0.684210526315789 0.236842105263158 0.460526315789474 0.460526315789474 0.684210526315789 0.326315789473684 0.360526315789474 0.415789473684211 0.460526315789474 0.510526315789474
"A_AvianFaecalA_Chicken" 0.565789473684211 1 0.610526315789474 0.805263157894737 0.85 0.610526315789474 0.744736842105263 0.647368421052632 0.868421052631579 0.557894736842105 0.673684210526316 0.647368421052632 0.647368421052632 0.868421052631579 0.85 0.771052631578947 0.55 0.505263157894737 0.505263157894737 0.621052631578947 0.55 0.55 0.55 0.655263157894737 0.444736842105263 0.763157894736842 0.505263157894737 0.842105263157895 0.497368421052632 0.602631578947368 0.736842105263158 0.736842105263158 0.381578947368421 0.418421052631579 0.594736842105263 0.623684210526316 0.578947368421053 0.518421052631579
"A_AvianRetailA_Chicken" 0.823684210526316 0.610526315789474 1 0.652631578947368 0.697368421052632 0.378947368421053 0.628947368421053 0.573684210526316 0.742105263157895 0.947368421052632 0.484210526315789 0.684210526315789 0.684210526315789 0.547368421052632 0.523684210526316 0.513157894736842 0.292105263157895 0.336842105263158 0.336842105263158 0.478947368421053 0.292105263157895 0.292105263157895 0.292105263157895 0.702631578947368 0.807894736842105 0.568421052631579 0.736842105263158 0.557894736842105 0.797368421052632 0.281578947368421 0.478947368421053 0.478947368421053 0.728947368421053 0.302631578947368 0.3 0.507894736842105 0.4 0.492105263157895
"A_AvianFaecalA_Duck" 0.565789473684211 0.805263157894737 0.652631578947368 1 0.955263157894737 0.673684210526316 0.744736842105263 0.647368421052632 0.868421052631579 0.6 0.736842105263158 0.542105263157895 0.542105263157895 0.673684210526316 0.655263157894737 0.618421052631579 0.523684210526316 0.478947368421053 0.478947368421053 0.531578947368421 0.523684210526316 0.523684210526316 0.523684210526316 0.655263157894737 0.486842105263158 0.673684210526316 0.505263157894737 0.752631578947368 0.539473684210526 0.576315789473684 0.736842105263158 0.736842105263158 0.381578947368421 0.571052631578947 0.594736842105263 0.623684210526316 0.578947368421053 0.428947368421053
"A_AvianFaecalA_Goose" 0.610526315789474 0.85 0.697368421052632 0.955263157894737 1 0.655263157894737 0.726315789473684 0.628947368421053 0.913157894736842 0.644736842105263 0.718421052631579 0.586842105263158 0.586842105263158 0.718421052631579 0.7 0.663157894736842 0.505263157894737 0.460526315789474 0.460526315789474 0.513157894736842 0.505263157894737 0.505263157894737 0.505263157894737 0.7 0.531578947368421 0.718421052631579 0.55 0.797368421052632 0.584210526315789 0.557894736842105 0.692105263157895 0.692105263157895 0.426315789473684 0.526315789473684 0.55 0.668421052631579 0.623684210526316 0.473684210526316
"A_AvianFaecalA_Pelican" 0.33421052631579 0.610526315789474 0.378947368421053 0.673684210526316 0.655263157894737 1 0.723684210526316 0.7 0.594736842105263 0.326315789473684 0.894736842105263 0.521052631578947 0.521052631578947 0.610526315789474 0.565789473684211 0.618421052631579 0.85 0.805263157894737 0.805263157894737 0.663157894736842 0.85 0.85 0.85 0.460526315789474 0.318421052631579 0.521052631578947 0.378947368421053 0.557894736842105 0.371052631578947 0.902631578947368 0.6 0.6 0.386842105263158 0.639473684210526 0.789473684210526 0.665789473684211 0.736842105263158 0.376315789473684
"A_AvianFaecalA_Seagull" 0.494736842105263 0.744736842105263 0.628947368421053 0.744736842105263 0.726315789473684 0.723684210526316 1 0.592105263157895 0.728947368421053 0.576315789473684 0.723684210526316 0.665789473684211 0.665789473684211 0.639473684210526 0.594736842105263 0.584210526315789 0.573684210526316 0.528947368421053 0.528947368421053 0.718421052631579 0.573684210526316 0.573684210526316 0.573684210526316 0.489473684210526 0.463157894736842 0.576315789473684 0.434210526315789 0.586842105263158 0.515789473684211 0.626315789473684 0.681578947368421 0.681578947368421 0.468421052631579 0.515789473684211 0.576315789473684 0.657894736842105 0.613157894736842 0.352631578947368
"A_AvianFaecalA_Sparrow" 0.528947368421053 0.647368421052632 0.573684210526316 0.647368421052632 0.628947368421053 0.7 0.592105263157895 1 0.610526315789474 0.521052631578947 0.805263157894737 0.568421052631579 0.568421052631579 0.584210526315789 0.497368421052632 0.55 0.613157894736842 0.657894736842105 0.657894736842105 0.531578947368421 0.613157894736842 0.613157894736842 0.613157894736842 0.507894736842105 0.407894736842105 0.452631578947368 0.468421052631579 0.489473684210526 0.460526315789474 0.665789473684211 0.489473684210526 0.489473684210526 0.434210526315789 0.518421052631579 0.642105263157895 0.544736842105263 0.61578947368421 0.35
"A_AvianFaecalA_Turkey" 0.655263157894737 0.868421052631579 0.742105263157895 0.868421052631579 0.913157894736842 0.594736842105263 0.728947368421053 0.610526315789474 1 0.689473684210526 0.7 0.673684210526316 0.673684210526316 0.805263157894737 0.718421052631579 0.639473684210526 0.444736842105263 0.4 0.4 0.515789473684211 0.444736842105263 0.444736842105263 0.444736842105263 0.718421052631579 0.576315789473684 0.694736842105263 0.594736842105263 0.815789473684211 0.628947368421053 0.497368421052632 0.668421052631579 0.668421052631579 0.471052631578947 0.465789473684211 0.489473684210526 0.581578947368421 0.563157894736842 0.560526315789474
"A_AvianRetailA_Turkey" 0.834210526315789 0.557894736842105 0.947368421052632 0.6 0.644736842105263 0.326315789473684 0.576315789473684 0.521052631578947 0.689473684210526 1 0.431578947368421 0.631578947368421 0.631578947368421 0.494736842105263 0.471052631578947 0.460526315789474 0.239473684210526 0.284210526315789 0.284210526315789 0.426315789473684 0.239473684210526 0.239473684210526 0.239473684210526 0.65 0.860526315789474 0.515789473684211 0.747368421052632 0.505263157894737 0.85 0.228947368421053 0.426315789473684 0.426315789473684 0.781578947368421 0.25 0.247368421052632 0.455263157894737 0.347368421052632 0.544736842105263
