"Var1"	"Var2"	"value"
"1"	"A_AvianAbbatoirA_Chicken"	"A_AvianAbbatoirA_Chicken"	1
"2"	"A_AvianFaecalA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.565789473684211
"3"	"A_AvianRetailA_Chicken"	"A_AvianAbbatoirA_Chicken"	0.823684210526316
"4"	"A_AvianFaecalA_Duck"	"A_AvianAbbatoirA_Chicken"	0.565789473684211
"5"	"A_AvianFaecalA_Goose"	"A_AvianAbbatoirA_Chicken"	0.610526315789474
"6"	"A_AvianFaecalA_Pelican"	"A_AvianAbbatoirA_Chicken"	0.33421052631579
"7"	"A_AvianFaecalA_Seagull"	"A_AvianAbbatoirA_Chicken"	0.494736842105263
"8"	"A_AvianFaecalA_Sparrow"	"A_AvianAbbatoirA_Chicken"	0.528947368421053
"9"	"A_AvianFaecalA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.655263157894737
"10"	"A_AvianRetailA_Turkey"	"A_AvianAbbatoirA_Chicken"	0.834210526315789
"11"	"A_AvianFaecalA_Wild_Bird"	"A_AvianAbbatoirA_Chicken"	0.439473684210526
"12"	"A_CompanionFaecalA_Cat"	"A_AvianAbbatoirA_Chicken"	0.55
"13"	"A_CompanionFaecalA_Dog"	"A_AvianAbbatoirA_Chicken"	0.55
"14"	"A_EquineFaecalA_Donkey"	"A_AvianAbbatoirA_Chicken"	0.502631578947368
"15"	"A_EquineFaecalA_Horse"	"A_AvianAbbatoirA_Chicken"	0.478947368421053
"16"	"A_MiscDomesticFaecalA_Llama/Alpaca"	"A_AvianAbbatoirA_Chicken"	0.468421052631579
"17"	"A_MiscWildFaecalA_Bear"	"A_AvianAbbatoirA_Chicken"	0.247368421052632
"18"	"A_MiscWildFaecalA_Marmot"	"A_AvianAbbatoirA_Chicken"	0.292105263157895
"19"	"A_MiscWildFaecalA_Peromyscus"	"A_AvianAbbatoirA_Chicken"	0.292105263157895
"20"	"A_MiscWildFaecalA_Raccoon"	"A_AvianAbbatoirA_Chicken"	0.344736842105263
"21"	"A_MiscWildFaecalA_Rattus"	"A_AvianAbbatoirA_Chicken"	0.247368421052632
"22"	"A_MiscWildFaecalA_Skunk"	"A_AvianAbbatoirA_Chicken"	0.247368421052632
"23"	"A_MiscWildFaecalA_Small_Mammal"	"A_AvianAbbatoirA_Chicken"	0.247368421052632
"24"	"A_PorcineFaecalA_Pig"	"A_AvianAbbatoirA_Chicken"	0.61578947368421
"25"	"A_PorcineRetailA_Pig"	"A_AvianAbbatoirA_Chicken"	0.694736842105263
"26"	"A_RuminantFaecalA_Buffalo"	"A_AvianAbbatoirA_Chicken"	0.55
"27"	"A_RuminantAbbatoirA_Cow"	"A_AvianAbbatoirA_Chicken"	0.807894736842105
"28"	"A_RuminantFaecalA_Cow"	"A_AvianAbbatoirA_Chicken"	0.471052631578947
"29"	"A_RuminantRetailA_Cow"	"A_AvianAbbatoirA_Chicken"	0.684210526315789
"30"	"A_RuminantFaecalA_Deer"	"A_AvianAbbatoirA_Chicken"	0.236842105263158
"31"	"A_RuminantFaecalA_Goat"	"A_AvianAbbatoirA_Chicken"	0.460526315789474
"32"	"A_RuminantFaecalA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.460526315789474
"33"	"A_RuminantRetailA_Sheep"	"A_AvianAbbatoirA_Chicken"	0.684210526315789
"34"	"E_LagoonLagoonE_Lagoon"	"A_AvianAbbatoirA_Chicken"	0.326315789473684
"35"	"E_SandMisc_EnvironmentalE_Sand"	"A_AvianAbbatoirA_Chicken"	0.360526315789474
"36"	"E_SewageSewageE_Sewage"	"A_AvianAbbatoirA_Chicken"	0.415789473684211
