"06_3851"	"06_6554"	"06_7656"	"07_0971"	"07_6215"	"08_0100"	"08_1700"	"08_1711"	"08_1714"	"CE_M_09_1073"	"CE_M_09_3054"	"CE_M_10_4053"	"CE_M_10_4054"	"CE_R_10_0273"	"CE_R_10_0305"	"CE_R_10_0306"	"CE_R_11_0270"	"CE_R2_11_0134"	"CE_R2_11_0350"	"CE_R2_11_0374"	"CGY_HR_076"	"CGY_HR_080"	"CHR_026"	"CHR_028"	"CHR_090"	"CHR_130"	"CI_0136"	"CI_0165"	"CI_0168"	"CI_0182"	"CI_0346"	"CI_0392"	"CI_0405"	"CI_0450"	"CI_0532"	"CI_0637"	"CI_0677"	"CI_0697"	"CI_0765"	"CI_1096"	"CI_1109"	"CI_1653"	"CI_1660"	"CI_1920"	"CI_1943"	"CI_1964"	"CI_1969"	"CI_2009"	"CI_2423"	"CI_2533"	"CI_2536"	"CI_2548"	"CI_2705"	"CI_2989"	"CI_3074"	"CI_4353"	"CI_4835"	"CI_5997"
"06_3851"	1	0.92	0.02	0.01	0.08	0	0.11	0.91	0.06	0	0.07	0.06	0.06	0.05	0.03	0.03	0.07	0.03	0	0.02	0.03	0	0.06	0.06	0	0.06	0.05	0.01	0	0	0.08	0	0.01	0	0.01	0.02	0.02	0	0.01	0.07	0	0	0	0.01	0.01	0.06	0.06	0.01	0	0	0.01	0	0	0	0.01	0.03	0.02	0.02
"06_6554"	0.92	1	0.03	0.02	0.1	0	0.1	0.92	0.08	0	0.07	0.07	0.07	0.05	0.01	0.01	0.07	0.02	0	0	0.03	0.01	0.06	0.08	0.01	0.07	0.05	0	0	0	0.1	0	0.02	0	0.01	0.01	0.02	0	0.01	0.07	0	0	0	0.01	0.01	0.08	0.08	0.01	0	0	0.01	0	0	0	0.01	0.03	0	0.03
"06_7656"	0.02	0.03	1	0.01	0.12	0.02	0.06	0.02	0.12	0	0.06	0.11	0.11	0.16	0.01	0.01	0.16	0.01	0.01	0	0.68	0.01	0.06	0.17	0.01	0.07	0.18	0	0	0	0.12	0	0.01	0.02	0.01	0.01	0.34	0.02	0.02	0.06	0.01	0.01	0	0.02	0.02	0.12	0.12	0.01	0	0.01	0.01	0	0.01	0	0.03	0.18	0	0.17
"07_0971"	0.01	0.02	0.01	1	0.05	0.02	0.1	0.01	0.08	0	0.02	0.09	0.09	0.04	0.01	0.01	0.08	0	0.02	0.01	0.01	0	0.02	0.06	0	0.02	0.07	0	0.03	0.03	0.06	0.03	0.98	0.01	0	0.01	0.02	0.02	0.01	0.02	0	0	0	0	0.01	0.08	0.08	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.08	0.01	0.05
"07_6215"	0.08	0.1	0.12	0.05	1	0.01	0.35	0.1	0.44	0	0.11	0.42	0.42	0.29	0.01	0.01	0.29	0.01	0.01	0	0.16	0.01	0.1	0.53	0.01	0.11	0.25	0	0.04	0.04	0.98	0.05	0.06	0	0	0.02	0.18	0	0	0.11	0	0	0	0.01	0.01	0.43	0.43	0	0	0	0	0	0	0	0.01	0.28	0	0.24
"08_0100"	0	0	0.02	0.02	0.01	1	0	0	0.01	0	0.01	0.01	0.01	0.02	0.49	0.49	0.01	0.52	0.4	0.4	0.02	0	0.01	0.02	0	0.01	0	0	0	0	0.01	0	0.02	0	0	0.5	0.01	0	0	0.01	0.48	0	0.03	0.62	0.6	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.4	0.01
"08_1700"	0.11	0.1	0.06	0.1	0.35	0	1	0.1	0.13	0	0.06	0.12	0.12	0.14	0.01	0.01	0.12	0.01	0.01	0.01	0.04	0	0.06	0.09	0	0.06	0.12	0.01	0.04	0.04	0.35	0.04	0.1	0	0	0.01	0.05	0	0	0.06	0.01	0	0	0.01	0.01	0.13	0.13	0	0	0	0	0	0	0	0	0.11	0.01	0.09
"08_1711"	0.91	0.92	0.02	0.01	0.1	0	0.1	1	0.07	0	0.08	0.07	0.07	0.05	0.01	0.01	0.08	0.01	0	0	0.03	0	0.07	0.07	0	0.06	0.06	0	0	0	0.1	0	0.01	0	0.01	0.01	0.02	0	0.01	0.08	0	0	0	0.01	0.01	0.07	0.07	0.01	0	0	0.01	0	0	0	0.01	0.03	0	0.02
"08_1714"	0.06	0.08	0.12	0.08	0.44	0.01	0.13	0.07	1	0	0.11	0.97	0.97	0.47	0.02	0.02	0.42	0.02	0.02	0.01	0.17	0.01	0.11	0.74	0.01	0.12	0.39	0	0.01	0.01	0.46	0.02	0.09	0	0	0.01	0.17	0	0	0.11	0.01	0	0.02	0.01	0.01	0.98	0.98	0	0	0	0	0	0	0	0.01	0.44	0.01	0.34
"CE_M_09_1073"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0.62	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CE_M_09_3054"	0.07	0.07	0.06	0.02	0.11	0.01	0.06	0.08	0.11	0	1	0.11	0.11	0.11	0.01	0.01	0.09	0.02	0.01	0.01	0.08	0	0.92	0.14	0	0.94	0.12	0	0.01	0.01	0.11	0.01	0.03	0	0	0.01	0.06	0	0	0.95	0.01	0	0	0.03	0.03	0.11	0.11	0	0	0	0	0	0	0	0	0.11	0.01	0.07
"CE_M_10_4053"	0.06	0.07	0.11	0.09	0.42	0.01	0.12	0.07	0.97	0	0.11	1	1	0.47	0.02	0.02	0.42	0.01	0.02	0.01	0.17	0	0.11	0.73	0	0.11	0.39	0	0.01	0.01	0.44	0.02	0.1	0	0	0.01	0.16	0	0	0.11	0.01	0	0.02	0.01	0.01	0.97	0.97	0	0	0	0	0	0	0	0.01	0.43	0.01	0.33
"CE_M_10_4054"	0.06	0.07	0.11	0.09	0.42	0.01	0.12	0.07	0.97	0	0.11	1	1	0.47	0.02	0.02	0.42	0.01	0.02	0.01	0.17	0	0.11	0.73	0	0.11	0.39	0	0.01	0.01	0.44	0.02	0.1	0	0	0.01	0.16	0	0	0.11	0.01	0	0.02	0.01	0.01	0.97	0.97	0	0	0	0	0	0	0	0.01	0.43	0.01	0.33
"CE_R_10_0273"	0.05	0.05	0.16	0.04	0.29	0.02	0.14	0.05	0.47	0	0.11	0.47	0.47	1	0.02	0.02	0.59	0.01	0.02	0.01	0.18	0	0.11	0.46	0	0.11	0.7	0	0.01	0.01	0.3	0.02	0.05	0.01	0.01	0.02	0.14	0.01	0.01	0.11	0.02	0	0	0.02	0.02	0.46	0.46	0.01	0	0.01	0.01	0	0	0	0.01	0.78	0.01	0.34
"CE_R_10_0305"	0.03	0.01	0.01	0.01	0.01	0.49	0.01	0.01	0.02	0	0.01	0.02	0.02	0.02	1	1	0.02	0.65	0.5	0.46	0.02	0	0.01	0.02	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0.64	0	0	0	0.01	0.48	0	0	0.59	0.57	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0.48	0
"CE_R_10_0306"	0.03	0.01	0.01	0.01	0.01	0.49	0.01	0.01	0.02	0	0.01	0.02	0.02	0.02	1	1	0.02	0.65	0.5	0.46	0.02	0	0.01	0.02	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0.64	0	0	0	0.01	0.48	0	0	0.59	0.57	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0.48	0
"CE_R_11_0270"	0.07	0.07	0.16	0.08	0.29	0.01	0.12	0.08	0.42	0	0.09	0.42	0.42	0.59	0.02	0.02	1	0	0.02	0	0.18	0	0.08	0.45	0	0.07	0.67	0	0.01	0.01	0.31	0.02	0.08	0	0	0.01	0.15	0	0	0.09	0.01	0	0	0.02	0.02	0.41	0.41	0	0	0	0	0	0	0	0	0.54	0	0.36
"CE_R2_11_0134"	0.03	0.02	0.01	0	0.01	0.52	0.01	0.01	0.02	0	0.02	0.01	0.01	0.01	0.65	0.65	0	1	0.5	0.53	0.02	0.01	0.01	0.01	0.01	0.02	0	0	0.01	0.01	0.01	0.01	0	0	0	0.62	0.01	0	0	0.01	0.5	0	0.04	0.59	0.56	0.02	0.02	0	0	0	0	0	0	0	0	0.01	0.55	0.01
"CE_R2_11_0350"	0	0	0.01	0.02	0.01	0.4	0.01	0	0.02	0	0.01	0.02	0.02	0.02	0.5	0.5	0.02	0.5	1	0.64	0.01	0	0.01	0.02	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.02	0	0	0.48	0.01	0	0	0.01	0.47	0	0.01	0.46	0.42	0.02	0.02	0	0	0	0	0	0	0	0	0.01	0.65	0
"CE_R2_11_0374"	0.02	0	0	0.01	0	0.4	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.46	0.46	0	0.53	0.64	1	0	0	0.01	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0	0.52	0.01	0	0	0.01	0.47	0	0.01	0.43	0.41	0.01	0.01	0	0	0	0	0	0	0	0	0	0.97	0
"CGY_HR_076"	0.03	0.03	0.68	0.01	0.16	0.02	0.04	0.03	0.17	0	0.08	0.17	0.17	0.18	0.02	0.02	0.18	0.02	0.01	0	1	0	0.08	0.2	0	0.08	0.18	0	0	0	0.16	0	0.02	0.01	0	0.02	0.35	0.01	0.01	0.08	0.01	0.01	0	0.03	0.03	0.17	0.17	0	0	0	0	0	0.01	0	0.02	0.2	0	0.21
"CGY_HR_080"	0	0.01	0.01	0	0.01	0	0	0	0.01	0.6	0	0	0	0	0	0	0	0.01	0	0	0	1	0	0.01	0.92	0.01	0	0.9	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.01
"CHR_026"	0.06	0.06	0.06	0.02	0.1	0.01	0.06	0.07	0.11	0	0.92	0.11	0.11	0.11	0.01	0.01	0.08	0.01	0.01	0.01	0.08	0	1	0.13	0	0.96	0.12	0	0.01	0.01	0.1	0.01	0.03	0	0	0.01	0.06	0	0	0.95	0.01	0	0	0.02	0.02	0.11	0.11	0	0	0	0	0	0	0	0	0.1	0.01	0.07
"CHR_028"	0.06	0.08	0.17	0.06	0.53	0.02	0.09	0.07	0.74	0	0.14	0.73	0.73	0.46	0.02	0.02	0.45	0.01	0.02	0	0.2	0.01	0.13	1	0.01	0.14	0.43	0	0.01	0.01	0.55	0.02	0.07	0	0	0.02	0.2	0	0	0.14	0	0	0	0.02	0.02	0.73	0.73	0	0	0	0	0	0	0	0.01	0.44	0	0.35
"CHR_090"	0	0.01	0.01	0	0.01	0	0	0	0.01	0.62	0	0	0	0	0	0	0	0.01	0	0	0	0.92	0	0.01	1	0.01	0	0.98	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.01
"CHR_130"	0.06	0.07	0.07	0.02	0.11	0.01	0.06	0.06	0.12	0	0.94	0.11	0.11	0.11	0.01	0.01	0.07	0.02	0.01	0.01	0.08	0.01	0.96	0.14	0.01	1	0.11	0	0.01	0.01	0.11	0.01	0.03	0	0	0.01	0.06	0	0	0.97	0.01	0	0	0.02	0.02	0.12	0.12	0	0	0	0	0	0	0	0	0.1	0.01	0.08
"CI_0136"	0.05	0.05	0.18	0.07	0.25	0	0.12	0.06	0.39	0	0.12	0.39	0.39	0.7	0.01	0.01	0.67	0	0.01	0	0.18	0	0.12	0.43	0	0.11	1	0	0.01	0.01	0.26	0.02	0.08	0.01	0.01	0	0.14	0.01	0.01	0.12	0	0	0	0	0	0.38	0.38	0.01	0	0.01	0.01	0	0	0	0.01	0.67	0	0.34
"CI_0165"	0.01	0	0	0	0	0	0.01	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0.98	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CI_0168"	0	0	0	0.03	0.04	0	0.04	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	1	1	0.04	0.98	0.03	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0.01
"CI_0182"	0	0	0	0.03	0.04	0	0.04	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	1	1	0.04	0.98	0.03	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0.01
"CI_0346"	0.08	0.1	0.12	0.06	0.98	0.01	0.35	0.1	0.46	0	0.11	0.44	0.44	0.3	0.01	0.01	0.31	0.01	0.01	0	0.16	0.01	0.1	0.55	0.01	0.11	0.26	0	0.04	0.04	1	0.05	0.07	0	0	0.02	0.19	0	0	0.11	0	0	0	0.01	0.01	0.45	0.45	0	0	0	0	0	0	0	0.01	0.29	0	0.25
"CI_0392"	0	0	0	0.03	0.05	0	0.04	0	0.02	0	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.02	0	0.01	0.02	0	0.98	0.98	0.05	1	0.03	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0.01	0.01
"CI_0405"	0.01	0.02	0.01	0.98	0.06	0.02	0.1	0.01	0.09	0	0.03	0.1	0.1	0.05	0.01	0.01	0.08	0	0.02	0.01	0.02	0	0.03	0.07	0	0.03	0.08	0	0.03	0.03	0.07	0.03	1	0.01	0	0.01	0.02	0.02	0.01	0.03	0	0	0	0	0.01	0.09	0.09	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.09	0.01	0.06
"CI_0450"	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0.01	1	0.13	0	0.01	0.19	0.16	0	0	0.15	0	0	0	0	0	0.21	0.07	0.3	0.13	0.07	0.2	0.07	0.15	0.01	0	0
"CI_0532"	0.01	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.13	1	0	0	0.14	0.19	0	0	0.22	0	0	0	0	0	0.23	0.05	0.15	1	0.05	0.12	0.05	0.14	0.01	0	0
"CI_0637"	0.02	0.01	0.01	0.01	0.02	0.5	0.01	0.01	0.01	0	0.01	0.01	0.01	0.02	0.64	0.64	0.01	0.62	0.48	0.52	0.02	0	0.01	0.02	0	0.01	0	0	0.01	0.01	0.02	0.01	0.01	0	0	1	0.05	0	0	0.01	0.45	0	0.01	0.61	0.6	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.54	0.01
"CI_0677"	0.02	0.02	0.34	0.02	0.18	0.01	0.05	0.02	0.17	0	0.06	0.16	0.16	0.14	0	0	0.15	0.01	0.01	0.01	0.35	0	0.06	0.2	0	0.06	0.14	0	0	0	0.19	0	0.02	0.01	0	0.05	1	0.01	0.01	0.06	0.01	0.01	0	0.01	0.01	0.16	0.16	0	0	0	0	0	0.01	0	0.02	0.14	0.01	0.15
"CI_0697"	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0.19	0.14	0	0.01	1	0.15	0	0	0.12	0	0	0	0	0	0.19	0.03	0.13	0.14	0.03	0.32	0.03	0.15	0.01	0	0
"CI_0765"	0.01	0.01	0.02	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.16	0.19	0	0.01	0.15	1	0	0	0.16	0	0	0	0	0	0.26	0.06	0.18	0.19	0.06	0.09	0.06	0.19	0.01	0	0
"CI_1096"	0.07	0.07	0.06	0.02	0.11	0.01	0.06	0.08	0.11	0	0.95	0.11	0.11	0.11	0.01	0.01	0.09	0.01	0.01	0.01	0.08	0	0.95	0.14	0	0.97	0.12	0	0.01	0.01	0.11	0.01	0.03	0	0	0.01	0.06	0	0	1	0.01	0	0	0.02	0.02	0.11	0.11	0	0	0	0	0	0	0	0	0.1	0.01	0.07
"CI_1109"	0	0	0.01	0	0	0.48	0.01	0	0.01	0	0.01	0.01	0.01	0.02	0.48	0.48	0.01	0.5	0.47	0.47	0.01	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0.45	0.01	0	0	0.01	1	0	0.02	0.48	0.44	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.48	0
"CI_1653"	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.22	0	0.01	0.12	0.16	0	0	1	0	0	0	0	0	0.17	0.02	0.13	0.22	0.02	0.17	0.02	0.13	0	0	0
