"Var1"	"Var2"	"value"
"1"	"Chicken_Abattoir"	"Chicken_Abattoir"	0
"2"	"Chicken_Farm"	"Chicken_Abattoir"	0.176
"3"	"Chicken_Retail"	"Chicken_Abattoir"	0.136
"4"	"Turkey_Farm"	"Chicken_Abattoir"	0.176
"5"	"Turkey_Retail"	"Chicken_Abattoir"	0.136
"6"	"Duck_Farm"	"Chicken_Abattoir"	0.176
"7"	"Duck_Retail"	"Chicken_Abattoir"	0.136
"8"	"Goose_Farm"	"Chicken_Abattoir"	0.176
"9"	"Cow_Abattoir"	"Chicken_Abattoir"	0.224
"10"	"Cow_Farm"	"Chicken_Abattoir"	0.304
"11"	"Goat_Farm"	"Chicken_Abattoir"	0.24
"12"	"Sheep_Farm"	"Chicken_Abattoir"	0.24
"13"	"Cow_Retail"	"Chicken_Abattoir"	0.264
"14"	"Pig_Farm"	"Chicken_Abattoir"	0.256
"15"	"Pig_Retail"	"Chicken_Abattoir"	0.216
"16"	"Sheep_Retail"	"Chicken_Abattoir"	0.216
"17"	"Donkey"	"Chicken_Abattoir"	0.376
"18"	"Horse"	"Chicken_Abattoir"	0.376
"19"	"Llama"	"Chicken_Abattoir"	0.376
"20"	"Seagull"	"Chicken_Abattoir"	0.36
"21"	"Wild Goose"	"Chicken_Abattoir"	0.464
"22"	"Raccoon"	"Chicken_Abattoir"	0.448
"23"	"Cat"	"Chicken_Abattoir"	0.424
"24"	"Dog"	"Chicken_Abattoir"	0.424
"25"	"Fly"	"Chicken_Abattoir"	0.488
"26"	"Rat"	"Chicken_Abattoir"	0.376
"27"	"Skunk"	"Chicken_Abattoir"	0.392
"28"	"Deer"	"Chicken_Abattoir"	0.416
"29"	"Farm Soil"	"Chicken_Abattoir"	0.368
"30"	"Sewage"	"Chicken_Abattoir"	0.536
"31"	"Lake Water"	"Chicken_Abattoir"	0.6
"32"	"Human_Urban"	"Chicken_Abattoir"	0.496
"33"	"Human_Farm Worker"	"Chicken_Abattoir"	0.568
"34"	"Human_Abattoir Worker"	"Chicken_Abattoir"	0.488
"35"	"Farm Lagoon"	"Chicken_Abattoir"	0.416
"36"	"Farm Manure"	"Chicken_Abattoir"	0.44
"37"	"Fresh Produce"	"Chicken_Abattoir"	0.336
"38"	"Raw Milk"	"Chicken_Abattoir"	0.312
"39"	"Beach Sand"	"Chicken_Abattoir"	0.672
"40"	"Irrigation Water"	"Chicken_Abattoir"	0.536
"41"	"Chicken_Abattoir"	"Chicken_Farm"	0.176
"42"	"Chicken_Farm"	"Chicken_Farm"	0
"43"	"Chicken_Retail"	"Chicken_Farm"	0.16
"44"	"Turkey_Farm"	"Chicken_Farm"	0.04
"45"	"Turkey_Retail"	"Chicken_Farm"	0.16
"46"	"Duck_Farm"	"Chicken_Farm"	0.04
"47"	"Duck_Retail"	"Chicken_Farm"	0.16
"48"	"Goose_Farm"	"Chicken_Farm"	0.04
"49"	"Cow_Abattoir"	"Chicken_Farm"	0.248
"50"	"Cow_Farm"	"Chicken_Farm"	0.168
"51"	"Goat_Farm"	"Chicken_Farm"	0.144
"52"	"Sheep_Farm"	"Chicken_Farm"	0.144
"53"	"Cow_Retail"	"Chicken_Farm"	0.288
"54"	"Pig_Farm"	"Chicken_Farm"	0.12
"55"	"Pig_Retail"	"Chicken_Farm"	0.24
"56"	"Sheep_Retail"	"Chicken_Farm"	0.24
"57"	"Donkey"	"Chicken_Farm"	0.4
"58"	"Horse"	"Chicken_Farm"	0.4
"59"	"Llama"	"Chicken_Farm"	0.4
"60"	"Seagull"	"Chicken_Farm"	0.384
"61"	"Wild Goose"	"Chicken_Farm"	0.448
"62"	"Raccoon"	"Chicken_Farm"	0.432
"63"	"Cat"	"Chicken_Farm"	0.488
"64"	"Dog"	"Chicken_Farm"	0.488
"65"	"Fly"	"Chicken_Farm"	0.432
"66"	"Rat"	"Chicken_Farm"	0.36
"67"	"Skunk"	"Chicken_Farm"	0.376
"68"	"Deer"	"Chicken_Farm"	0.44
"69"	"Farm Soil"	"Chicken_Farm"	0.352
"70"	"Sewage"	"Chicken_Farm"	0.6
"71"	"Lake Water"	"Chicken_Farm"	0.584
"72"	"Human_Urban"	"Chicken_Farm"	0.56
"73"	"Human_Farm Worker"	"Chicken_Farm"	0.472
"74"	"Human_Abattoir Worker"	"Chicken_Farm"	0.552
"75"	"Farm Lagoon"	"Chicken_Farm"	0.4
"76"	"Farm Manure"	"Chicken_Farm"	0.424
"77"	"Fresh Produce"	"Chicken_Farm"	0.32
"78"	"Raw Milk"	"Chicken_Farm"	0.296
"79"	"Beach Sand"	"Chicken_Farm"	0.656
"80"	"Irrigation Water"	"Chicken_Farm"	0.52
"81"	"Chicken_Abattoir"	"Chicken_Retail"	0.136
"82"	"Chicken_Farm"	"Chicken_Retail"	0.16
"83"	"Chicken_Retail"	"Chicken_Retail"	0
"84"	"Turkey_Farm"	"Chicken_Retail"	0.16
"85"	"Turkey_Retail"	"Chicken_Retail"	0.04
"86"	"Duck_Farm"	"Chicken_Retail"	0.16
"87"	"Duck_Retail"	"Chicken_Retail"	0.04
"88"	"Goose_Farm"	"Chicken_Retail"	0.16
"89"	"Cow_Abattoir"	"Chicken_Retail"	0.248
"90"	"Cow_Farm"	"Chicken_Retail"	0.288
"91"	"Goat_Farm"	"Chicken_Retail"	0.224
"92"	"Sheep_Farm"	"Chicken_Retail"	0.224
"93"	"Cow_Retail"	"Chicken_Retail"	0.168
"94"	"Pig_Farm"	"Chicken_Retail"	0.24
"95"	"Pig_Retail"	"Chicken_Retail"	0.12
"96"	"Sheep_Retail"	"Chicken_Retail"	0.12
"97"	"Donkey"	"Chicken_Retail"	0.36
"98"	"Horse"	"Chicken_Retail"	0.36
"99"	"Llama"	"Chicken_Retail"	0.36
"100"	"Seagull"	"Chicken_Retail"	0.384
"101"	"Wild Goose"	"Chicken_Retail"	0.448
"102"	"Raccoon"	"Chicken_Retail"	0.432
"103"	"Cat"	"Chicken_Retail"	0.448
"104"	"Dog"	"Chicken_Retail"	0.448
"105"	"Fly"	"Chicken_Retail"	0.472
"106"	"Rat"	"Chicken_Retail"	0.36
"107"	"Skunk"	"Chicken_Retail"	0.376
"108"	"Deer"	"Chicken_Retail"	0.44
"109"	"Farm Soil"	"Chicken_Retail"	0.352
"110"	"Sewage"	"Chicken_Retail"	0.56
"111"	"Lake Water"	"Chicken_Retail"	0.584
"112"	"Human_Urban"	"Chicken_Retail"	0.44
"113"	"Human_Farm Worker"	"Chicken_Retail"	0.512
"114"	"Human_Abattoir Worker"	"Chicken_Retail"	0.512
"115"	"Farm Lagoon"	"Chicken_Retail"	0.4
"116"	"Farm Manure"	"Chicken_Retail"	0.424
"117"	"Fresh Produce"	"Chicken_Retail"	0.32
"118"	"Raw Milk"	"Chicken_Retail"	0.256
"119"	"Beach Sand"	"Chicken_Retail"	0.656
"120"	"Irrigation Water"	"Chicken_Retail"	0.52
"121"	"Chicken_Abattoir"	"Turkey_Farm"	0.176
"122"	"Chicken_Farm"	"Turkey_Farm"	0.04
"123"	"Chicken_Retail"	"Turkey_Farm"	0.16
"124"	"Turkey_Farm"	"Turkey_Farm"	0
"125"	"Turkey_Retail"	"Turkey_Farm"	0.16
"126"	"Duck_Farm"	"Turkey_Farm"	0.04
"127"	"Duck_Retail"	"Turkey_Farm"	0.16
"128"	"Goose_Farm"	"Turkey_Farm"	0.04
"129"	"Cow_Abattoir"	"Turkey_Farm"	0.248
"130"	"Cow_Farm"	"Turkey_Farm"	0.168
"131"	"Goat_Farm"	"Turkey_Farm"	0.144
"132"	"Sheep_Farm"	"Turkey_Farm"	0.144
"133"	"Cow_Retail"	"Turkey_Farm"	0.288
"134"	"Pig_Farm"	"Turkey_Farm"	0.12
"135"	"Pig_Retail"	"Turkey_Farm"	0.24
"136"	"Sheep_Retail"	"Turkey_Farm"	0.24
"137"	"Donkey"	"Turkey_Farm"	0.4
"138"	"Horse"	"Turkey_Farm"	0.4
"139"	"Llama"	"Turkey_Farm"	0.4
"140"	"Seagull"	"Turkey_Farm"	0.384
"141"	"Wild Goose"	"Turkey_Farm"	0.448
"142"	"Raccoon"	"Turkey_Farm"	0.432
"143"	"Cat"	"Turkey_Farm"	0.488
"144"	"Dog"	"Turkey_Farm"	0.488
"145"	"Fly"	"Turkey_Farm"	0.432
"146"	"Rat"	"Turkey_Farm"	0.36
"147"	"Skunk"	"Turkey_Farm"	0.376
"148"	"Deer"	"Turkey_Farm"	0.44
"149"	"Farm Soil"	"Turkey_Farm"	0.352
