Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year
Isolate_001	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	2	6	2004
Isolate_002	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	2	6	2004
Isolate_003	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	2	6	2004
Isolate_004	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	8	6	2004
Isolate_005	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	16	6	2004
Isolate_006	Human_Urban	Canada	Alberta	Lethbridge	49.69349	-112.84184	20	6	2004
Isolate_007	Human_Urban	Canada	Alberta	Lethbridge	49.69349	-112.84184	21	6	2004
Isolate_008	Human_Urban	Canada	Alberta	Lethbridge	49.69349	-112.84184	8	7	2004
Isolate_009	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	12	7	2004
Isolate_010	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	12	7	2004
Isolate_011	Human_Urban	Canada	Alberta	Lethbridge	49.69349	-112.84184	12	7	2004
Isolate_012	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	14	7	2004
Isolate_013	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	21	7	2004
Isolate_014	Sheep_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	21	7	2004
Isolate_015	Irrigation Water	Canada	Alberta	Fort Macleod	49.7216792	-113.4000408	28	7	2004
Isolate_016	Cat	Canada	Alberta	N/A	53.9332706	-116.5765035	10	8	2004
Isolate_017	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
Isolate_018	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
Isolate_019	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	19	8	2004
Isolate_020	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	1	9	2004
Isolate_021	Human_Urban	Canada	Alberta	Lethbridge	49.69349	-112.84184	13	9	2004
Isolate_022	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	15	9	2004
Isolate_023	Irrigation Water	Canada	Alberta	Fort Macleod	49.7216792	-113.4000408	28	9	2004
Isolate_024	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	5	10	2004
Isolate_025	Chicken_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	5	10	2004
Isolate_026	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	6	10	2004
Isolate_027	Irrigation Water	Canada	Alberta	N/A	53.9332706	-116.5765035	6	10	2004
Isolate_028	Cow_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	15	11	2004
Isolate_029	Goose_Farm	Canada	Alberta	N/A	53.9332706	-116.5765035	15	11	2004
Isolate_030	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	1	1	2005
Isolate_031	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	14	4	2005
Isolate_032	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	18	4	2005
Isolate_033	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	21	4	2005
Isolate_034	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	23	4	2005
Isolate_035	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	26	4	2005
Isolate_036	Human_Urban	Canada	Alberta	Calgary	51.0453246	-114.0581012	28	4	2005
