creditor,debtor,amount,risk
CI-0136,CI-5429,0,2
CI-5429,CI-0136,0,2
06_7515,CE2_R_11_3009,0,3
07_3853,CE2_R_11_3009,0,3
CE2_R_11_3009,06_7515,0,3
CE2_R_11_3009,07_3853,0,3
CE2_R_11_3009,CE_R_10_0273,0,3
CE_R_10_0273,CE2_R_11_3009,0,3
CI-0136,CI-5357,0.001512414,2
CI-5357,CI-0136,0.001512414,2
CI-0292,CI-5429,0.0018171,2
CI-5429,CI-0292,0.0018171,2
CI-0292,CI-5357,0.003351737,2
CI-5357,CI-0292,0.003351737,2
CI-0136,CI-5292,0.007432023,2
CI-5292,CI-0136,0.007432023,2
CI-0292,CI-5292,0.00936099,2
CI-5292,CI-0292,0.00936099,2
CE2_R_11_3009,CI-3252,0.014509969,3
CI-3252,CE2_R_11_3009,0.014509969,3
CGY_HR_022,CI-5429,0.014799858,2
CI-5429,CGY_HR_022,0.014799858,2
CGY_HR_022,CI-5357,0.016503128,2
CI-5357,CGY_HR_022,0.016503128,2
CGY_HR_074,CI-5429,0.01669927,2
CGY_HR_076,CI-5429,0.01669927,2
CI-5429,CGY_HR_074,0.01669927,2
CI-5429,CGY_HR_076,0.01669927,2
06_7515,CI-0136,0.016761406,3
06_7515,CI-0292,0.016761406,3
06_7515,CI-3986,0.016761406,3
06_7515,CI-5357,0.016761406,3
06_7515,CI-5429,0.016761406,3
07_3853,CI-0136,0.016761406,3
07_3853,CI-0292,0.016761406,3
07_3853,CI-3986,0.016761406,3
07_3853,CI-5357,0.016761406,3
07_3853,CI-5429,0.016761406,3
CE_R_10_0273,CI-0136,0.016761406,3
CE_R_10_0273,CI-0292,0.016761406,3
CE_R_10_0273,CI-3986,0.016761406,3
CE_R_10_0273,CI-5357,0.016761406,3
CE_R_10_0273,CI-5429,0.016761406,3
CI-0136,06_7515,0.016761406,3
CI-0136,07_3853,0.016761406,3
CI-0136,CE_R_10_0273,0.016761406,3
CI-0292,06_7515,0.016761406,3
CI-0292,07_3853,0.016761406,3
CI-0292,CE_R_10_0273,0.016761406,3
CI-3986,06_7515,0.016761406,3
CI-3986,07_3853,0.016761406,3
CI-3986,CE_R_10_0273,0.016761406,3
CI-5357,06_7515,0.016761406,3
CI-5357,07_3853,0.016761406,3
CI-5357,CE_R_10_0273,0.016761406,3
CI-5429,06_7515,0.016761406,3
CI-5429,07_3853,0.016761406,3
