has,prefers,count
S_CI-0136,S_CI-3986,505.246491
S_CI-3986,S_CI-0136,505.246491
S_CI-2775,S_CI-5292,515.933327
S_CI-5292,S_CI-2775,515.933327
S_CI-1092,S_CI-5429,524.666067
S_CI-5429,S_CI-1092,524.666067
S_CI-1092,S_CI-5357,525.195125
S_CI-5357,S_CI-1092,525.195125
S_CI-0292,S_CI-3252,529.900218
S_CI-3252,S_CI-0292,529.900218
S_06_7515,S_CE_R_10_0273,530.401151
S_CE_R_10_0273,S_06_7515,530.401151
S_07_3853,S_CE_R_10_0273,537.89826
S_CE_R_10_0273,S_07_3853,537.89826
S_CI-1092,S_CI-2775,551.140011
S_CI-2775,S_CI-1092,551.140011
S_07_3853,S_CGY_HR_022,553.037566
S_CGY_HR_022,S_07_3853,553.037566
S_07_3853,S_CGY_HR_074,554.883642
S_07_3853,S_CGY_HR_076,554.883642
S_CGY_HR_074,S_07_3853,554.883642
S_CGY_HR_076,S_07_3853,554.883642
S_CI-3986,S_CI-5429,555.280409
S_CI-5429,S_CI-3986,555.280409
S_07_3853,S_CHR_119,555.989511
S_CHR_119,S_07_3853,555.989511
S_CI-0136,S_CI-5292,556.871784
S_CI-5292,S_CI-0136,556.871784
S_07_3853,S_CHR_090,556.97905
S_CHR_090,S_07_3853,556.97905
S_CI-3986,S_CI-5357,557.502171
S_CI-5357,S_CI-3986,557.502171
S_07_3853,S_CHR_151,560.168759
S_CHR_151,S_07_3853,560.168759
S_CI-3252,S_CI-3986,560.72158
S_CI-3986,S_CI-3252,560.72158
S_CHR_119,S_CI-1092,563.665608
S_CI-1092,S_CHR_119,563.665608
S_06_7515,S_CGY_HR_022,565.846415
S_CGY_HR_022,S_06_7515,565.846415
S_06_7515,S_CGY_HR_074,568.468411
S_06_7515,S_CGY_HR_076,568.468411
S_CGY_HR_074,S_06_7515,568.468411
S_CGY_HR_076,S_06_7515,568.468411
S_CI-2775,S_CI-3252,569.030158
S_CI-3252,S_CI-2775,569.030158
S_06_7515,S_CHR_119,569.680684
S_CHR_119,S_06_7515,569.680684
S_CHR_151,S_CI-1092,570.180682
S_CI-1092,S_CHR_151,570.180682
S_06_7515,S_CHR_090,571.113251
S_CHR_090,S_06_7515,571.113251
S_06_7515,S_CHR_151,575.853513
S_CHR_151,S_06_7515,575.853513
S_CI-2775,S_CI-3986,585.188223
S_CI-3986,S_CI-2775,585.188223
S_CHR_090,S_CI-1092,586.456513
S_CI-1092,S_CHR_090,586.456513
S_CI-0136,S_CI-1092,592.444284
S_CI-1092,S_CI-0136,592.444284
S_CI-0292,S_CI-2775,596.014843
S_CI-2775,S_CI-0292,596.014843
S_CE2_R_11_3009,S_CE_R_10_0273,600.221711
S_CE_R_10_0273,S_CE2_R_11_3009,600.221711
S_CI-0136,S_CI-0292,655.890967
S_CI-0292,S_CI-0136,655.890967
S_CI-5292,S_CI-5429,661.979449
S_CI-5429,S_CI-5292,661.979449
S_CI-5292,S_CI-5357,670.763444
S_CI-5357,S_CI-5292,670.763444
S_CI-1092,S_CI-5292,672.63413
S_CI-5292,S_CI-1092,672.63413
S_CGY_HR_022,S_CHR_151,699.975795
S_CHR_151,S_CGY_HR_022,699.975795
S_CI-0136,S_CI-5429,700
S_CI-5429,S_CI-0136,700
S_CI-0136,S_CI-5357,700.453724
S_CI-5357,S_CI-0136,700.453724
S_CI-0292,S_CI-3986,709.508457
S_CI-3986,S_CI-0292,709.508457
S_CGY_HR_074,S_CHR_151,714.037056
S_CGY_HR_076,S_CHR_151,714.037056
S_CHR_151,S_CGY_HR_074,714.037056
S_CHR_151,S_CGY_HR_076,714.037056
S_CGY_HR_022,S_CHR_090,725.146607
S_CHR_090,S_CGY_HR_022,725.146607
S_CGY_HR_022,S_CHR_119,739.235204
S_CHR_119,S_CGY_HR_022,739.235204
S_CGY_HR_074,S_CHR_090,760.491189
S_CGY_HR_076,S_CHR_090,760.491189
S_CHR_090,S_CGY_HR_074,760.491189
S_CHR_090,S_CGY_HR_076,760.491189
S_06_7515,S_07_3853,794.717792
S_07_3853,S_06_7515,794.717792
S_CGY_HR_074,S_CHR_119,821.006583
S_CGY_HR_076,S_CHR_119,821.006583
S_CHR_119,S_CGY_HR_074,821.006583
S_CHR_119,S_CGY_HR_076,821.006583
S_CHR_119,S_CHR_151,834.767269
S_CHR_151,S_CHR_119,834.767269
S_CHR_090,S_CHR_151,845.429793
S_CHR_151,S_CHR_090,845.429793
S_CGY_HR_022,S_CGY_HR_074,862.248879
S_CGY_HR_022,S_CGY_HR_076,862.248879
S_CGY_HR_074,S_CGY_HR_022,862.248879
S_CGY_HR_076,S_CGY_HR_022,862.248879
S_CI-5357,S_CI-5429,866.317745
S_CI-5429,S_CI-5357,866.317745
S_CHR_090,S_CHR_119,887.359483
S_CHR_119,S_CHR_090,887.359483
